"Year","Division","League","Regular Season","Playoffs","Open Cup"
"2004","4","USL PDL","8th, Mid South","Did not qualify","Did not qualify"
"2005","4","USL PDL","2nd, Mid South","Conference Finals","Did not qualify"
"2006","4","USL PDL","1st, Mid South","National Final","1st Round"
"2007","4","USL PDL","1st, Mid South","Champions","Did not qualify"
"2008","4","USL PDL","2nd, Mid South","National Final","Did not qualify"
"2009","4","USL PDL","1st, Mid South","Conference Finals","Did not qualify"
"2010","4","USL PDL","1st, Mid South","Conference Semi-Final","Did not qualify"
"2011","4","USL PDL","1st, Mid South","National Final","Did not qualify"
"2012","4","USL PDL","1st, Mid South","Conference Semi-Final","2nd Round"
"2013","4","USL PDL","2nd, Mid South","Conference Finals","2nd Round"
