Team #1	Agg.	Team #2	1st leg	2nd leg
Florina	0-3	Panachaiki	0-1	0-2
Kilkisiakos	1-2	Panarkadikos	1-0	0-2
Kallithea	2-7	Makedonikos	2-2	0-5
Panathinaikos	9-1	Panelefsiniakos	5-0	4-1
Anagennisi Arta	1-6	Olympiacos	1-1	0-5
PAOK (a.g.)	3-3	Aris	2-0	1-3
Kavala (a.g.)	2-2	Aiolikos	1-0	1-2
Kozani	2-1	Fostiras	1-0	1-1
Diagoras	3-4	Korinthos	2-2	1-2
Larissa	8-1	Neapoli Piraeus	7-0	1-1
Thiva	2-3	Proodeftiki	1-1	1-2
Edessaikos	1-2	Levadiakos	1-0	0-2
Pierikos	2-1	Ethnikos Asteras	2-0	0-1
Ethnikos Olympiakos Volos	2-1	Thriamvos	2-1	0-0
Lamia	4-3	Kastoria	4-2	0-1
Panionios	3-1	PAS Giannina	3-1	0-0
