Rnd	Circuit	GTP Winning Team\nGTP Winning Drivers	GTO Winning Team\nGTO Winning Drivers	GTU Winning Team\nGTU Winning Drivers	Results
1	Daytona	#00 Kreepy Krauly Racing	#4 Stratagraph Inc.	#76 Malibu Grand Prix	Results
1	Daytona	Sarel van der Merwe\n Graham Duxbury\n Tony Martin	Terry Labonte\n Billy Hagan\n Gene Felton	Jack Baldwin\n Jim Cook\n Ira Young\n Bob Reed	Results
2	Miami	#04 Group 44	#47 Dingman Bros. Racing	#99 All American Racers	Results
2	Miami	Doc Bundy\n Brian Redman	Walt Bohren	Chris Cord	Results
3	Sebring	#48 DeNarvaez Enterprises	#4 Stratagraph Inc.	#76 Malibu Grand Prix	Results
3	Sebring	Mauricio DeNarvaez\n Hans Heyer\n Stefan Johansson	Terry Labonte\n Billy Hagan\n Gene Felton	Jack Baldwin\n Bob Reed\n Ira Young	Results
4	Road Atlanta	#16 Marty Hinze Racing	#4 Stratagraph Inc.	#76 Malibu Grand Prix	Results
4	Road Atlanta	Don Whittington	Billy Hagan\n Gene Felton	Jack Baldwin\n Bob Reed	Results
5	Riverside	#56 Blue Thunder Racing	#38 Mandeville Auto Tech	#87 Performance Motorsports	Results
5	Riverside	Don Whittington\n Randy Lanier	Roger Mandeville\n Amos Johnson	Elliot Forbes-Robinson\n John Schneider	Results
6	Laguna Seca	#56 Blue Thunder Racing	#77 Brooks Racing	#99 All American Racers	Results
6	Laguna Seca	Randy Lanier	John Bauer	Jim Adams	Results
7	Charlotte	#56 Blue Thunder Racing	#4 Stratagraph Inc.	#99 All American Racers	Results
7	Charlotte	Bill Whittington\n Randy Lanier	Billy Hagan\n Gene Felton	Chris Cord\n Jim Adams	Results
8	Lime Rock	#00 Kreepy Krauly Racing	#38 Mandeville Auto Tech	#76 Malibu Grand Prix	Results
8	Lime Rock	Sarel van der Merwe	Roger Mandeville	Jack Baldwin	Results
9	Mid-Ohio	#14 Holbert Racing	#91 Electrodyne	#66 Mike Meyer Racing	Results
9	Mid-Ohio	Al Holbert\n Derek Bell	Chester Vincentz\n Dave White	Jack Dunham\n Jeff Kline	Results
10	Watkins Glen	#14 Holbert Racing	#91 Electrodyne	#87 Performance Motorsports	Results
10	Watkins Glen	Al Holbert\n Jim Adams\n Derek Bell	Chester Vincentz\n Jim Mullen	Elliot Forbes-Robinson\n John Schneider	Results
11	Portland	#56 Blue Thunder Racing	#51 Corvette	#76 Malibu Grand Prix	Results
11	Portland	Bill Whittington\n Randy Lanier	David Schroeder\n Tom Hendrickson	Jack Baldwin	Results
12	Sears Point	#56 Blue Thunder Racing	#77 Brooks Racing	#98 All American Racers	Results
12	Sears Point	Bill Whittington	John Bauer	Dennis Aase	Results
13	Road America	#14 Holbert Racing	#91 Electrodyne	#66 Mike Meyer Racing	Results
13	Road America	Al Holbert\n Derek Bell	Chester Vincentz\n Jim Mullen	Jack Dunham\n Jeff Kline	Results
14	Pocono	#14 Holbert Racing	#65 English Enterprises	#87 Performance Motorsports	Results
14	Pocono	Al Holbert\n Derek Bell	Gene Felton	Elliot Forbes-Robinson\n John Schneider	Results
15	Michigan	#56 Blue Thunder Racing	#91 Electrodyne	#84 Dole Racing	Results
15	Michigan	Bill Whittington\n Randy Lanier	Chester Vincentz\n Jim Mullen	Clay Young	Results
16	Watkins Glen	#57 Blue Thunder Racing	#91 Electrodyne	#84 Dole Racing	Results
16	Watkins Glen	Dale Whittington\n Randy Lanier	Chester Vincentz\n Jim Mullen	Clay Young	Results
17	Daytona	#14 Holbert Racing	#67 Roush Racing	#87 Performance Motorsports	Results
17	Daytona	Al Holbert\n Derek Bell	Wally Dallenbach, Jr.\n Willy T. Ribbs	Elliot Forbes-Robinson\n John Schneider	Results
