Pos.	Driver	Co-driver	Car	Time	Difference	Points
1.	Sébastien Loeb	Daniel Elena	Citroën C4 WRC	3:59:18.9	0.0	10
2.	Dani Sordo	Marc Marti	Citroën C4 WRC	3:59;36.4	17.5	8
3.	Mikko Hirvonen	Jarmo Lehtinen	Ford Focus RS WRC 08	4:00:00.4	41.5	6
4.	Petter Solberg	Phil Mills	Subaru Impreza WRC 2008	4:02:07.8	2:48.9	5
5.	Urmo Aava	Kuldar Sikk	Citroën C4 WRC	4:02:49.6	3:30.7	4
6.	PG Andersson	Jonas Andersson	Suzuki SX4 WRC	4:06:56.3	7:37.4	3
7.	Toni Gardemeister	Tomi Tuominen	Suzuki SX4 WRC	4:07:13.8	7:54.9	2
8.	Federico Villagra	Jorge Perez Companc	Ford Focus RS WRC 07	4:07:53.9	8:35.0	1
1. (10.)	Martin Prokop	Jan Tomanek	Mitsubishi Lancer Evo IX	4:13:07.9	0.0	10
2. (11.)	Patrik Sandell	Emil Axelsson	Mitsubishi Lancer Evo IX	4:13:44.1	36.2	8
3. (12.)	Martin Rauam	Silver Kütt	Mitsubishi Lancer Evo IX	4:14:05.7	57.8	6
