"Name","Abbr.","Leader","Ideology","Political position","MPs"
"Serbian Progressive Party
Српска напредна странка / Srpska napredna stranka","SNS","Aleksandar Vučić","Conservatism","Centre-right","134 / 250"
"Socialist Party of Serbia
Социјалистичка партија Србије / Socjalistička patrija Srbje","SPS","Ivica Dačić","Socialism","Centre-left to Left-wing","25 / 250"
"Democratic Party
Демократска странка / Demokratska stranka","DS","Dragan Đilas","Social democracy, Third Way","Centre-left to Centre","17 / 250"
"Party of United Pensioners of Serbia
Партија уједињених пензионера Србије/ Partija ujedinjenih penzionera Srbije","PUPS","Jovan Krkobabić","Pensioners' interests","Left-wing","12 / 250"
"New Democratic Party
Нова демократска странка / Nova demokratska stranka","NDS","Boris Tadić","Social democracy, Green politics","Centre-left","10 / 250"
"Social Democratic Party of Serbia
Социјалдемократска партија Србије/ Socijaldemokratska partija Srbije","SDPS","Rasim Ljajić","Social democracy","Centre-left","10 / 250"
"United Serbia
Јединствена Србија/ Jedinstvena Srbija","JS","Dragan Marković","Populism","Right-wing","7 / 250"
"League of Social Democrats of Vojvodina
Лига социјалдемократа Војводине/ Liga socijaldemokrata Vojvodine","LSV","Nenad Čanak","Social democracy, Regionalism","Centre-left","6 / 250"
"New Serbia
Нова Србија/ Nova Srbija","NS","Velimir Ilić","Populism","Centre-right","6 / 250"
"Alliance of Vojvodina Hungarians
Савез војвођанских Мађара / Savez vojvođanskih Mađara","SVM","István Pásztor","Hungarian minority politics","Minority politics","6 / 250"
"Serbian Renewal Movement
Српски покрет обнове/ Srpski pokret obnove","SPO","Vuk Drašković","Monarchism, Pro-Europeanism","Centre-right","5 / 250"
"Movement of Socialists
Покрет социјалиста/ Pokret socijalista","PS","Aleksandar Vulin","Socialism, Marxism","Left-wing to Far-left","3 / 250"
"Party of Democratic Action of Sandžak
Странка Демократске Акције Санџака / Stranka Demokratske Akcije Sandžaka","SDA","Sulejman Ugljanin","Bosniak minority politics","Minority politics","3 / 250"
"Together for Serbia
Заједно за Србију / Zajedno za Srbiju","ZZS","Dušan Petrović","Social democracy","Centre-left","2 / 250"
"New Party
Нова странка / Nova stranka","NOVA","Zoran Živković","Liberalism, Pro-Europeanism","Centre","2 / 250"
"Party for Democratic Action
Партија за демократско деловање / Partija za demokratsko delovanje","PDD","Riza Halimi","Albanian minority politics","Minority politics","2 / 250"
