"Game","Date","Visitor","Score","Home","Decision","Attendance","Record","Points"
"34","January 3","NY Rangers","2 – 4","Philadelphia","Parent","17,007","22–8–4","48"
"35","January 5","Philadelphia","3 – 3","Minnesota","Parent","15,296","22–8–5","49"
"36","January 7","Philadelphia","1 – 2","Montreal","Parent","19,040","22–9–5","49"
"37","January 10","Minnesota","4 – 7","Philadelphia","Parent","17,007","23–9–5","51"
"38","January 11","Philadelphia","7 – 6","Atlanta","Taylor","5,141","24–9–5","53"
"39","January 13","Atlanta","0 – 1","Philadelphia","Parent","17,007","25–9–5","55"
"40","January 17","Buffalo","2 – 7","Philadelphia","Parent","17,007","26–9–5","57"
"41","January 19","Los Angeles","0 – 2","Philadelphia","Parent","17,007","27–9–5","59"
"42","January 20","Pittsburgh","5 – 3","Philadelphia","Parent","17,007","27–10–5","59"
"43","January 22","Philadelphia","3 – 2","Vancouver","Taylor","15,570","28–10–5","61"
"44","January 24","Philadelphia","4 – 4","Los Angeles","Parent","14,343","28–10–6","62"
"45","January 25","Philadelphia","5 – 0","California","Parent","10,776","29–10–6","64"
"46","January 27","Philadelphia","3 – 5","Boston","Taylor","15,003","29–11–6","64"
"47","January 31","Buffalo","3 – 4","Philadelphia","Parent","17,007","30–11–6","66"
