Rank	Player	From	To	Transfer fee\n(€ million)	Year
1	Miralem Sulejmani	Heerenveen	Ajax	16.25	2008
2	Strootman & Mertens	Utrecht	PSV	13	2011
3	Mateja Kežman	Partizan	PSV	11.3	2000
4	Klaas-Jan Huntelaar	Heerenveen	Ajax	9	2006
5	Nikos Machlas	Vitesse	Ajax	8.6	1999
6	Zlatan Ibrahimović	Malmö FF	Ajax	8.4	2001
7	Jan Vennegoor of Hesselink	Twente	PSV	8.2	2001
8	Luis Suárez	Groningen	Ajax	7.5	2007
9	Darío Cvitanich	Banfield	Ajax	7.5	2008
10	Ferdi Vierklau	Tenerife	Ajax	7.3	1998
11	Adam Maher	AZ	PSV	6.5	2013
