#	Artist	Featuring	Title	Version	Length
1.	Benassi Bros.	Dhany	Rocket In The Sky	Original Extended Mix	5:43
2.	Benassi Bros.	Sandy	Illusion	Sfaction Mix	5:08
3.	Benassi Bros.	Dhany	Every Single Day	Original Version	4:45
4.	Benassi Bros.	Sandy	Castaway	Original Version	6:06
5.	Benassi Bros.	Dhany	Make Me Feel	Original Version	5:30
6.	Benassi Bros.	Sandy	I Feel So Fine	Sfaction Mix	5:26
7.	Benassi Bros.	Dhany	Run To Me	Sfaction Version	5:09
8.	Benassi Bros.	Sandy	Get Better	Sflow Version	4:05
9.	Benassi Bros.	Dhany	Hit My Heart	Sfaction Mix	5:08
10.	Benassi Bros.	Sandy	Turn Me Up	Sfaction Mix	5:48
11.	Benassi Bros.	Dhany	Somebody To Touch Me	Sflow Version	5:49
12.	Benassi Bros.	Sandy	Light	Original Version	7:30
13.	Benassi Bros.		Megamix		3:31
14.	Benassi Bros.		Summer Megamix 2005		4:11
15.	Benassi Bros.	Dhany	Make Me Feel	Dave Leatherman Remix	4:11
