Year	Film	Director	Cast	Details
2014	Manam	Vikram Kumar	Akkineni Nageswara Rao\nAkkineni Nagarjuna\nNaga Chaitanya	in-production.\nfirst time starring three generations of great akkineni dynasty heroes acting together.
2013	Bhai	Veerabhadram	Akkineni Nagarjuna\nRicha Gangopadhyay	
2011	Rajanna	Vijayendra Prasad	Akkineni Nagarjuna\nSneha	Won Nandi Award for Best Feature Film (Silver),\nNandi Award for Best Child Actress (Baby Annie),\nNandi Award for Best Character Actor (Gandhi),\nNandi Award for Best Art Director (S Ravinder),\nNandi Award for Best Female Playback Singer (Malavika),\nNandi Special Jury Award (Nagarjuna)
2005	Super	Puri Jagannadh	Akkineni Nagarjuna\nAyesha Takia\nSonu Sood\nAnushka Shetty	Won Filmfare Best Comedian in Telugu(Ali),\nNominated for Filmfare Best Film in Telugu,\nFilmfare Best Director (Puri Jagannadh),\nFilmfare Best Actor (Akkineni Nagarjuna).\nFilmfare Best Music Director (Sandeep Chowta),\nFilmfare Best Actress (Sandhya)
2004	Mass	Raghava Lawrence	Akkineni Nagarjuna\nJyothika\nCharmy Kaur	Won CineMAA Award for Best Actor (Nagarjuna),\nSantosham Best Actress Award (Jyothika)
2003	Satyam	Surya Kiran	Sumanth\nGenelia D'Souza	
2002	Manmadhudu	K. Vijaya Bhaskar	Akkineni Nagarjuna\nSonali Bendre	Won Nandi Award for Best Feature Film (Gold)
1999	Prema Katha	Ram Gopal Varma	Sumanth\nAntara Mali	Won Nandi Award for Best Feature Film (Bronze),\nNandi Award for Best Director (Ram Gopal Varma),\nNandi Award for Best Supporting Actress (Radhika),\nNandi Award for Best Male Dubbing Artist (P.Shankar)
1999	Seetharama Raju	Suresh Krishna	Nagarjuna Akkineni\nNandamuri Harikrishna\nSakshi Sivanand\nSanghavi	Co-produced with D.Siva Prasad Reddy
1998	Aaha	Suresh Krishna	Jagapathi Babu\nSanghavi	
1998	Chandralekha (1998 film)	Krishna Vamsi	Nagarjuna Akkineni\nRamya Krishna\nIsha Koppikar	Co-produced with V.Ram Prasad
1996	Ninne Pelladutha	Krishna Vamsi	Nagarjuna Akkineni\nTabu	Won National Film Award for Best Feature Film in Telugu
1995	Sisindri	Shiva Nageswara Rao	Akhil Akkineni\nNagarjuna Akkineni	
1993	Theerpu			
1993	Rakshana	Uppala Pati Narayana Rao\nR. R. Shinde	Nagarjuna Akkineni\nShobhana	
1990	Iddaru Iddare	A. Kodandarami Reddy	Akkineni Nageswara Rao\nNagarjuna Akkineni\nRamya Krishnan	
1989	Shiva	Ram Gopal Verma	Akkineni Nagarjuna\nAmala	Produced in association with S.S.Creations\nWon Nandi Award for Best Director (Ram Gopal Varma)\nReleased in Hindi in 1990
1987	Agni Putrudu	K. Raghavendra Rao	Nagarjuna Akkineni\nAkkineni Nageswara Rao\nSarada\nSivaji Ganesan	First film starring two generations\nof the Akkineni family
1986	Vikram	V. Madhusudhana Rao	Akkineni Nagarjuna\nShobhana	Debut Film of Superstar Akkineni Nagarjuna
1983	Sri Ranga Neethulu	A. Kodandarami Reddy	Akkineni Nageswara Rao\nSridevi	
1982	Yuvaraju	Dasari Narayana Rao	Akkineni Nageswara Rao\nSujatha\nJayasudha	
1981	Prema Kaanuka	K. Raghavendra Rao	Akkineni Nageswara Rao\nSridevi\nMohan Babu	
1980	Premabhishekam	Dasari Narayana Rao	Akkineni Nageswara Rao\nSridevi\nJayasudha	The film has completed 100 days in 30 centres
1980	Pilla Zameendar	Singeetam Srinivasa Rao	Akkineni Nageswara Rao\nJayasudha\nMohan Babu	
1980	Butchi Babu	Dasari Narayana Rao	Akkineni Nageswara Rao\nJaya Prada	
1979	Kalyani	Dasari Narayana Rao	Murali Mohan\nKaikala Satyanarayana\nJayasudha	
1978	Manchi Manasulu	Adurthi Subba Rao	Akkineni Nageshwara Rao\nSavitri\nShowkar Janaki	
1970	Maro Prapancham	Adurthi Subba Rao	Akkineni Nageswara Rao\nSavitri	
1968	Sudigundalu	Adurthi Subba Rao	Akkineni Nageswara Rao, Sandhya Rani	Won National Film Award for Best Feature Film in Telugu\nNandi Award for Best Feature Film\nFilmfare Best Film Award (Telugu)
1955	Donga Ramudu	Kadiri Venkata Reddy	Akkineni Nageswara Rao\nJamuna\nSavitri	
