Released	Video title	Company	Director	Notes
2004-09-18 (VHS)\n2004-10-29 (DVD)	Tawawana 18-sai Shoko Goto\nたわわな19歳 後藤聖子	Crystal-Eizou Venus\nVF-35 (VHS)\nVFDV-002 (DVD)	Yukihiko Shimamura	AV debut
2004-11-26	Big Bust Evolution Shoko Goto\n爆乳進化論 後藤聖子	Crystal-Eizou Venus\nVFDV-006		
2004-12-17	Menyu Shoko Goto\n女乳 後藤聖子	Crystal-Eizou Venus\nVFDV-009		
2005-01-28	Busty Private Teacher Shoko Goto\n爆乳家庭教師 後藤聖子	Crystal-Eizou Grace\nGRDV-003		
2005-02-25	A-Grade Tits Shoko Goto\nA級乳犯 後藤聖子	Crystal-Eizou Grace\nGRDV-005		
2005-02-26 (VHS)\n2005-03-25 (DVD)	The Costume Play Maid, Shoko Goto\nコスプレ召使い 後藤聖子	Crystal-Eizou Venus\nVF-56 (VHS)\nVFDV-017 (DVD)	Yukihiko Shimamura	
2005-04-29	Perverted Desire Shoko Goto\n変態志願 後藤聖子	Crystal-Eizou Venus\nVFDV-021		
2005-05-27	Fetish World\n変態志願	Crystal-Eizou Grace\nGRDV-009		With Marina Matsushima
2005-06-24	GOGO Shameless Young Lady\nGOGOハレンチ娘	Crystal-Eizou Grace\nGRDV-011		
2005-12-23	Super Re-Mix Collection The Best Shoko Goto\nSUPER Re-MIX 後藤聖子 THE BEST 大総集編	Crystal-Eizou MMC\nMCDV-099		Compilation
