"Name","Parentage","Size","Flower colour","Flower type"
"Cornish Snow","cuspidata × saluenensis","04.0m²","white","single"
"Cornish Spring","cuspidata × saluenensis","04.0m²","pink","single"
"Francie L","reticulata × saluenensis","64.0m²","rose-pink","double"
"Freedom Bell","× williamsii","06.5m²","red","semi-double"
"Inspiration","reticulata × saluenensis","10.0m²","rose-pink","semi-double"
"Leonard Messel","reticulata × saluenensis","16.0m²","rose-pink","semi-double"
"Royalty","japonica × reticulata","01.0m²","light red","semi-double"
"Spring Festival","× williamsii, cuspidata","10.0m²","pink","semi-double"
"Tom Knudsen","japonica × reticulata","06.3m²","deep red","double paeony"
"Tristrem Carlyon","reticulata","10.0m²","rose pink","double paeony"
