"Rank","Film","Year","Opening Weekend
(three day)","Inflation-adjusted
(2014 USD)"
"1","Marvel's The Avengers","2012","$207,438,708","$213,091,480"
"2","Iron Man 3","2013","$174,144,585","$176,308,953"
"3","Harry Potter and the Deathly Hallows – Part 2","2011","$169,189,427","$177,373,590"
"4","The Dark Knight Rises","2012","$160,887,295","$165,271,526"
"5","The Dark Knight","2008","$158,411,483","$173,518,111"
"6","The Hunger Games: Catching Fire","2013","$158,074,286","$160,038,924"
"7","The Hunger Games","2012","$152,535,747","$156,692,396"
"8","Spider-Man 3","2007","$151,116,516","$171,876,545"
"9","The Twilight Saga: New Moon","2009","$142,839,137","$157,018,918"
"10","The Twilight Saga: Breaking Dawn - Part 2","2012","$141,067,634","$144,911,773"
"11","The Twilight Saga: Breaking Dawn - Part 1","2011","$138,122,261","$144,803,619"
"12","Pirates of the Caribbean: Dead Man's Chest","2006","$135,634,554","$158,673,173"
"13","Iron Man 2","2010","$128,122,480","$138,563,103"
"14","Harry Potter and the Deathly Hallows – Part 1","2010","$125,017,372","$135,204,962"
"15","Shrek the Third","2007","$121,629,270","$138,338,411"
"16","Man of Steel","2013","$116,619,362","$118,068,774"
"17","Alice in Wonderland","2010","$116,101,023","$125,562,025"
"18","Spider-Man","2002","$114,844,116","$150,582,840"
"19","Pirates of the Caribbean: At World's End","2007","$114,732,820","$130,494,543"
"20","Toy Story 3","2010","$110,307,189","$119,296,055"
"21","Transformers: Revenge of the Fallen","2009","$108,966,307","$119,783,499"
"22","Star Wars Episode III: Revenge of the Sith","2005","$108,435,841","$130,939,650"
"23","Shrek 2","2004","$108,037,878","$134,895,074"
"24","X-Men: The Last Stand","2006","$102,750,665","$120,203,691"
"25","Harry Potter and the Goblet of Fire","2005","$102,685,961","$123,996,491"
"26","Indiana Jones and the Kingdom of the Crystal Skull","2008","$100,137,835","$109,687,301"
