Rank	Mountain Peak	Nation	Province	Elevation	Prominence	Isolation
1	Volcán Tajumulco PB	Guatemala	San Marcos	4220 m\n13,845 ft	3980 m\n13,058 ft	722 km\n448 mi
2	Chirripó Grande PB	Costa Rica	Cartago\nLimón\nSan José	3819 m\n12,530 ft	3726 m\n12,224 ft	864 km\n537 mi
3	Montaña de Santa Bárbara PB	Honduras	Santa Bárbara	2744 m\n9,003 ft	2084 m\n6,837 ft	74 km\n46 mi
4	Cerro las Minas PB	Honduras	Lempira	2849 m\n9,347 ft	2069 m\n6,788 ft	130 km\n81 mi
5	Volcán de Agua PB	Guatemala	Escuintla\nSacatepéquez	3761 m\n12,339 ft	1981 m\n6,499 ft	16 km\n10 mi
6	Alto Cuchumatanes PB	Guatemala	Huehuetenango	3837 m\n12,589 ft	1877 m\n6,158 ft	65 km\n40 mi
7	Volcán Irazú PB	Costa Rica	Cartago\nSan José	3402 m\n11,161 ft	1872 m\n6,142 ft	48 km\n30 mi
8	Montañas Peña Blanca High Point PB	Guatemala	Huehuetenango	3518 m\n11,542 ft	1858 m\n6,096 ft	42 km\n26 mi
9	Volcán Acatenango PB	Guatemala	Chimaltenango\nSacatepéquez	3975 m\n13,041 ft	1835 m\n6,020 ft	126 km\n78 mi
10	Volcán San Miguel PB	El Salvador	San Miguel	2131 m\n6,991 ft	1831 m\n6,007 ft	64 km\n40 mi
11	Cerro Tacarcuna PB	Panama	Darién	1875 m\n6,152 ft	1770 m\n5,807 ft	99 km\n61 mi
12	Volcán Atitlán PB	Guatemala	Sololá	3537 m\n11,604 ft	1754 m\n5,755 ft	35 km\n21 mi
13	Pico Bonito PB	Honduras	Atlántida	2450 m\n8,038 ft	1710 m\n5,610 ft	152 km\n95 mi
14	Montaña San Ildefonso PB	Honduras	Cortés	2242 m\n7,356 ft	1702 m\n5,584 ft	68 km\n42 mi
15	Volcán San Cristóbal PB	Nicaragua	Chinandega	1745 m\n5,725 ft	1665 m\n5,463 ft	134 km\n83 mi
