Date	Opponent#	Rank#	Site	Result	Attendance
1959-09-26	at #16 Georgia Tech*	#6	Grant Field • Atlanta, GA	L 12-16	43,000
1959-10-03	#15 Navy*		Cotton Bowl • Dallas, TX	W 20-7	46,000
1959-10-09	Missouri*	#15	Cotton Bowl • Dallas, TX	W 23-2	33,000
1959-10-17	at Rice	#16	Rice Stadium • Houston, TX	T 13-13	65,000
1959-10-24	Texas Tech		Cotton Bowl • Dallas, TX	W 21-13	30,000
1959-10-31	#4 Texas		Cotton Bowl • Dallas, TX	L 0-21	65,000
1959-11-07	at Texas A&M		Kyle Field • College Station, TX	W 14-11	19,000
1959-11-14	#20 Arkansas		Cotton Bowl • Dallas, TX	L 14-17	31,000
1959-11-21	at Baylor		Floyd Casey Stadium • Waco, TX	W 30-14	25,000
1959-11-28	at #8 Texas Christian		Amon G. Carter Stadium • Fort Worth, TX	L 0-19	40,000
