No.	Player	Birth Date	Weight	Height	Position	Current Club
4	Ardo Kreek	August 7, 1986 (age 27)	96	203	Middle blocker	Paris Volley
5	Kert Toobal	June 3, 1979 (age 35)	78	189	Setter	Sivas 4 Eylül
6	Martti Juhkami	June 6, 1988 (age 26)	96	196	Spiker	TV Bühl
7	Argo Meresaar	January 13, 1980 (age 34)	107	206	Opposite	Bigbank Tartu
8	Kusti Nõlvak	November 6, 1991 (age 22)	81	186	Setter	TTÜ VK
9	Robert Täht	August 15, 1993 (age 20)	80	190	Spiker	Bigbank Tartu
11	Oliver Venno	May 23, 1990 (age 24)	105	210	Opposite	Rennes Volley 35
14	Rait Rikberg	August 30, 1982 (age 31)	80	174	Libero	Bigbank Tartu
16	Edgar Järvekülg	June 12, 1988 (age 26)	77	186	Libero	Pärnu VK
17	Siim Ennemuist	December 5, 1989 (age 24)	89	196	Middle blocker	TTÜ VK
18	Jaanus Nõmmsalu	January 19, 1981 (age 33)	94	200	Spiker	TTÜ VK
19	Andri Aganits	September 7, 1993 (age 20)	99	207	Middle Blocker	TV Bühl
