"Rank","Country","Winners","Runners-up","Finals Total"
"1","Spain","17","8","25"
"2","Germany
 East Germany","11
1
12","10
3
13","21
4
25"
"3","Soviet Union
 Russia","2
1
3","1
0
1","3
1
4"
"4","Hungary","2","3","5"
"5","Belarus","2","0","2"
"6","France","1","3","4"
"7","Sweden","0","2","2"
"8","Bosnia & Herzegovina","0","1","1"
"8","Croatia","0","1","1"
"8","Czech Republic","0","1","1"
"8","Denmark","0","1","1"
"8","Romania","0","1","1"
"8","Serbia","0","1","1"
"8","Switzerland","0","1","1"
"Total","Total","37","37","74"
