Year	Location	Attendance	Theme phrase	Top messages	Host	Opening General Session guest(s)	Closing General Session guest(s)	Sunday night reception	Wednesday night party	CULT shirt
1993	Orlando	2300	Working Together		Don Bulens	Geoffrey Moore			Disney-MGM	
1994	No Event									
1995	Orlando		The Right Event. The Right Solutions. Right Now.						Disney-MGM	
1996	Orlando		Release The Power	Notes R4\nWork the Web		None	Cirque du Soleil		Universal Studios Florida\nThe Neville Brothers	
1997	Nice, France		Pool of Knowledge	Don't compete with, embrace the Web.\niNotes Web Publisher\nDomino	Ray Ozzie	Avery Brooks			Magic Kingdom\nThe Doobie Brothers	
1998	Orlando		Cultivate Your Senses	Notes R5	Steve Beckhardt (?)	Jamie Clark\nAlan Hobson	Bill Nye		Disney-MGM\nEarth, Wind & Fire	
1999	Orlando		LOTUS: A Part of Every Solution	Notes R5\nKnowledge Management	Jeff Papows	Jim Lovell\nGene Krantz	Marc Salem		SeaWorld\nThe Pointer Sisters	
2000	Orlando	10000	Looking Forward/Forward Looking	Raven\nDomino Access for Microsoft Outlook	Jeff Papows > Al Zollar	Walter Cronkite	The Raspyni Brothers		Universal's Islands of Adventure\nChicago	Notes World Order
2001	Orlando	10000	In The Know	Lotus K-Station\nLotus Discovery Server	Al Zollar	Al Franken\nFrancis Ford Coppola	Umbilical Brothers		Disney's Wide World of Sports Complex\nBrian Setzer Orchestra	Domino Survivor
2002	Orlando	6000	Proof Positive	Notes/Domino 6\n"Lotus Software" brand\nJ2EE\n"two-lane highway"	Al Zollar	Ben Stein	Kevin Nealon		Disney-MGM	Fellowship of the Domino Ring
2003	Orlando		The Essential Human Element	NextGen\nDB2	Al Zollar > Ambuj Goyal	Rudy Giuliani\nBounce (dancers)	Dr. Ronan Tynan		Magic Kingdom	Just-Us League & Collaboration League
2004	Orlando	5273	The Workplace For Innovation		Ambuj Goyal	Patrick Stewart	Richard Jeni		Universal Studios Florida	CULT SHIRT ON HUMAN
2005	Orlando	5800	Envision Decisions	Notes and Workplace convergence	Ambuj Goyal	John Cleese\nRay Ozzie	Steven Wright	Country/Western	Universal's Islands of Adventure	Zen of Collaboration
2006	Orlando	6000	FutureInSight	Workplace\nActivities\nSametime 7.5	Mike Rhodin	Jason Alexander	Jim Gaffigan	Poker tables	SeaWorld	CULT Man Group
2007	Orlando	7000	IT Revolves Around You	Notes/Domino 8\nNotes moving to Eclipse\nQuickr\nConnections\nSave The Notes Client, Save The World	Mike Rhodin	Neil Armstrong\nUltrasonic Rock Orchestra	Dr. Neil deGrasse Tyson		Disney's Animal Kingdom	I AM _____
2008	Orlando	7000+	Emergence	Notes/Domino 8.01, 8.5\nDomino Designer in Eclipse\nLotus Mashups\nLotus Foundations\nLotus "Bluehouse"\nLotus Symphony	Mike Rhodin	Bob Costas\nOrlando Symphony Orchestra	Alton Brown	Beach Party	Universal's Islands of Adventure	Pirates of Collaboration
2009	Orlando		Resonance	LotusLive\nLotus Notes 8.5 for Mac\nAlloy (SAP + Lotus Notes)\nxPages\nDAOS\nID-vault	Bob Picciano	Dan Aykroyd\nBlue Man Group	Benjamin Zander		Universal Studios	
2010	Orlando		Lotus knows why. Lotus knows how.		Bob Picciano > Alistair Rennie	William Shatner\nNuttin' But Stringz	Brian Cox (physicist)		Hollywood Studios	
2011	Orlando		Get Social. Do Business.		Alistair Rennie	Kevin Spacey\nMass Ensemble	Watson		Wizarding World of Harry Potter, Islands of Adventure	
2012	Orlando		Business. Made Social.		Alistair Rennie	Michael J. Fox\nOK Go	Andrew Zimmern		SeaWorld	No CULT Shirt
2013	Orlando		Get social. Do business.		Alistair Rennie	Joe Gordon-Levitt\nThey Might Be Giants	Steven Strogatz\nJohn Hodgman		Universal Studios Florida	No CULT Shirt
2014	Orlando		Energizing Life's work.		Craig Hayman	Seth Meyers\nAmerican Authors	Dave Lavery		Hollywood Studios	No CULT Shirt
