"Place","Player","Country","Score","To par"
"T1","Ed Sneed","United States","68-67=135","–9"
"T1","Craig Stadler","United States","69-66=135","–9"
"T3","Raymond Floyd","United States","70-68=138","–6"
"T3","Leonard Thompson","United States","68-70=138","–6"
"T5","Miller Barber","United States","75-64=139","–5"
"T5","Tom Watson","United States","68-71=139","–5"
"T5","Joe Inman","United States","68-71=139","–5"
"T8","Seve Ballesteros","Spain","72-68=140","–4"
"T8","Jack Nicklaus","United States","69-71=140","–4"
"T8","Lou Graham","United States","69-71=140","–4"
