"Season","Division","Tier","Position","Cup"
"1994–95","Regionalliga Süd","III","7","Quarter-final"
"1995–96","Regionalliga Süd","III","13","Round 1"
"1997–97","Regionalliga Süd","III","8","DNQ"
"1997–98","Regionalliga Süd","III","6","DNQ"
"1998–99","Regionalliga Süd","III","8","DNQ"
"1999–00","Regionalliga Süd","III","5","DNQ"
"2000–01","Regionalliga Süd","III","9","DNQ"
"2001–02","Regionalliga Süd","III","10","DNQ"
"2002–03","Regionalliga Süd","III","4","Round 1"
"2003–04","Regionalliga Süd","III","1","DNQ"
"2004–05","Regionalliga Süd","III","6","Quarter-final"
"2005–06","Regionalliga Süd","III","11","DNQ"
"2006–07","Regionalliga Süd","III","8","DNQ"
"2007–08","Regionalliga Süd","III","8","DNQ"
"2008–09","3. Liga","III","5","—"
"2009–10","3. Liga","III","8","—"
"2010–11","3. Liga","III","20","—"
"2011–12","Regionalliga Süd","IV","14","—"
"2012–13","Regionalliga Bayern","IV","2","—"
