Event	Gold	Time	Silver	Time	Bronze	Time
K–1 200 m	Lisa Carrington (NZL)	39.998	Marta Walczykiewicz (POL)	40.472	Inna Osypenko-Radomska (UKR)	40.670
K–1 500 m	Nicole Reinhardt (GER)	1:47.066	Danuta Kozák (HUN)	1:47.396	Inna Osypenko-Radomska (UKR)	1:48.668
K–1 1000 m	Tamara Csipes (HUN)	4:11.388	Krisztina Fazekas Zur (USA)	4:13.470	Naomi Flood (AUS)	4:14.124
K–1 5000 m	Tamara Csipes (HUN)	22:19.816	Lani Belcher (GBR)	22:26.572	Maryna Paltaran (BLR)	22:37.294
K–2 200 m	Hungary\nKatalin Kovács\nDanuta Kozák	37.667	Poland\nKarolina Naja\nMagdalena Krukowska	38.165	Australia\nJoanne Brigden-Jones\nHannah Davis	38.369
K–2 500 m	Austria\nYvonne Schuring\nViktoria Schwarz	1:37.071 WB	Germany\nFranziska Weber\nTina Dietze	1:37.275	Poland\nBeata Mikołajczyk\nAneta Konieczna	1:37.803
K–2 1000 m	Germany\nAnne Knorr\nDebora Niche	3:50.614	Bulgaria\nBerenike Faldum\nDaniela Nedeva	3:50.950	Hungary\nAlíz Sarudi\nErika Medveczky	3:53.416
K–4 500 m	Hungary\nGabriella Szabó\nDanuta Kozák\nKatalin Kovács\nDalma Benedek	1:36.339	Germany\nCarolin Leonhardt\nSilke Hörmann\nFranziska Weber\nTina Dietze	1:37.521	Belarus\nIryna Pamialova\nNadzeya Papok\nVolha Khudzenka\nMaryna Paltaran	1:37.887
K–1 4x200 m Relay	Germany\nNicole Reinhardt\nConny Wassmuth\nTina Dietze\nCarolin Leonhardt	2:49.541	Russia\nNatalia Lobova\nAnastasiya Sergeeva\nNatalia Proskurina\nSvetlana Kudinova	2:50.207	Poland\nMarta Walczykiewicz\nKarolina Naja\nAneta Konieczna\nEwelina Wojnarowska	2:50.951
