"Year","Round","Against","Score","Scorers"
"1930","Group B","Yugoslavia","1–2","Preguinho"
"1930","Group B","Bolivia","4–0","Moderato (2), Preguinho (2)"
"1934","Round 1","Spain","1–3","Leônidas"
"1938","Round 1","Poland","6–5 (AET)","Leônidas (3), Romeu, Perácio (2)"
"1938","Quarter-Final","Czechoslovakia","1–1 (AET)","Leônidas"
"1938","Quarter-Final (replay)","Czechoslovakia","2–1","Leônidas, Roberto"
"1938","Semi-Final","Italy","1–2","Romeu"
"1938","Bronze Final","Sweden","4–2","Romeu, Leônidas (2), Perácio"
"1950","Group A","Mexico","4–0","Ademir (2), Jair, Baltazar"
"1950","Group A","Switzerland","2–2","Alfredo, Baltazar"
"1950","Group A","Yugoslavia","2–0","Ademir, Zizinho"
"1950","Final Round","Sweden","7–1","Ademir (4), Chico (2), Maneca"
"1950","Final Round","Spain","6–1","Ademir (2), Jair, Chico (2), Zizinho"
"1950","Final Round","Uruguay","1–2","Friaça"
"1954","Group A","Mexico","5–0","Baltazar, Didi, Pinga (2), Julinho"
"1954","Group A","Yugoslavia","1–1 (AET)","Didi"
"1954","Quarter-Final","Hungary","2–4","Djalma Santos, Julinho"
"1958","Group D","Austria","3–0","Mazzola (2), Nilton Santos"
"1958","Group D","England","0–0",""
"1958","Group D","Soviet Union","2–0","Vavá (2)"
"1958","Quarter-Final","Wales","1–0","Pelé"
"1958","Semi-Final","France","5–2","Vavá, Didi, Pelé (3)"
"1958","Final","Sweden","5–2","Vavá (2), Pelé (2), Zagallo"
"1962","Group C","Mexico","2–0","Pelé, Zagallo"
"1962","Group C","Czechoslovakia","0–0",""
"1962","Group C","Spain","2–1","Amarildo (2)"
"1962","Quarter-Final","England","3–1","Garrincha (2), Vavá"
"1962","Semi-Final","Chile","4–2","Garrincha (2), Vavá (2)"
"1962","Final","Czechoslovakia","3–1","Amarildo, Zito, Vavá"
"1966","Group C","Bulgaria","2–1","Pelé, Garrincha"
"1966","Group C","Hungary","1–3","Tostão"
"1966","Group C","Portugal","1–3","Rildo"
"1970","Group C","Czechoslovakia","4–1","Rivelino, Pelé, Jairzinho (2)"
"1970","Group C","England","1–0","Jairzinho"
