Week	Date	Opponent	Result	Attendance
1	September 6, 1981	at Los Angeles Rams	W 27–20	63,198
2	September 13, 1981	at Cleveland Browns	W 9–3	79,483
3	September 20, 1981	Miami Dolphins	L 16–10	47,379
4	September 27, 1981	at New York Jets	L 33–17	50,309
5	October 4, 1981	Cincinnati Bengals	W 17–10	44,350
6	October 11, 1981	Seattle Seahawks	W 35–17	42,671
7	October 18, 1981	at New England Patriots	L 38–10	60,474
8	October 26, 1981	at Pittsburgh Steelers	L 26–13	52,732
9	November 1, 1981	at Cincinnati Bengals	L 34–21	54,736
10	November 8, 1981	Oakland Raiders	W 17–16	45,519
11	November 15, 1981	at Kansas City Chiefs	L 23–10	73,984
12	November 22, 1981	New Orleans Saints	L 27–24	49,581
13	November 29, 1981	Atlanta Falcons	L 31–27	40,201
14	December 3, 1981	Cleveland Browns	W 17–13	44,502
15	December 13, 1981	at San Francisco 49ers	L 28–6	55,707
16	December 20, 1981	Pittsburgh Steelers	W 21–20	41,056
