"Position","Swara","Short name","Notation","Mnemonic"
"1","Shadja","Sa","S","sa"
"2","Shuddha Rishabha","Ri","R1","ra"
"3","Chatushruti Rishabha","Ri","R2","ri"
"3","Shuddha Gandhara","Ga","G1","ga"
"4","Shatshruti Rishabha","Ri","R3","ru"
"4","Sadharana Gandhara","Ga","G2","gi"
"5","Antara Gandhara","Ga","G3","gu"
"6","Shuddha Madhyama","Ma","M1","ma"
"7","Prati Madhyama","Ma","M2","mi"
"8","Panchama","Pa","P","pa"
"9","Shuddha Dhaivata","Dha","D1","dha"
"10","Chatushruti Dhaivata","Dha","D2","dhi"
"10","Shuddha Nishada","Ni","N1","na"
"11","Shatshruti Dhaivata","Dha","D3","dhu"
"11","Kaisiki Nishada","Ni","N2","ni"
"12","Kakali Nishada","Ni","N3","nu"
