No.	Date	Tournament	Winning score	Margin of\nvictory	Runner(s)-up
1	3 Nov 2002	Philip Morris K.K. Championship	−19 (65-67-67-70=269)	2 strokes	Toshimitsu Izawa
2	10 Aug 2003	Sun Chlorella Classic	−8 (71-73-68-68=280)	1 stroke	Daisuke Maruyama, Taichi Teshima
3	25 Apr 2004	Tsuruya Open	−9 (64-73-69-69=275)	2 strokes	Keiichiro Fukabori, Scott Laycock,\n Tatsuya Mitsuhashi, Taichi Teshima,\n Shinichi Yokota
4	26 Jun 2004	Gateway to the Open Mizuno Open	−14 (67-68-70-69=274)	Playoff	Hiroaki Iijima
5	23 Apr 2006	Tsuruya Open	−11 (70-68-66-69=273)	2 strokes	Mamo Osanai
6	22 Apr 2007	Tsuruya Open	−16 (67-65-68-68=268)	2 strokes	Masahiro Kuramoto, Hirofumi Miyase,\n Takuya Taniguchi
7	11 Nov 2007	Mitsui Sumitomo VISA Taiheiyo Masters	−13 (67-68-69-70=274)	5 strokes	Toru Taniguchi
8	2 Dec 2007	Golf Nippon Series JT Cup	−11 (70-70-68-61=261)	1 stroke	Toru Taniguchi
9	26 Sep 2010	Asia-Pacific Panasonic Open\n(co-sanctioned by the Asian Tour)	−6 (71-70-66=207)	1 stroke	Ryuichi Oda
10	1 May 2011	The Crowns	−9 (67-66-68-70=271)	Playoff	Jang Ik-jae
11	15 Apr 2012	Token Homemate Cup	−15 (68-69-70-62=269)	2 strokes	Ryuichi Oda
12	29 Jul 2012	Sun Chlorella Classic	−15 (69-66-68-70=273)	2 strokes	Lee Seong-ho, Hideki Matsuyama (am),\n Yoshinobu Tsukada
13	30 Jun 2013	Gateway to the Open Mizuno Open	−19 (67-66-68-68=269)	3 strokes	Kim Kyung-tae
