"Season","Team","Country","Division","Apps","Goals"
"2003","Shandong Luneng","China","1","4","0"
"2004","Shandong Luneng","China","1","0","0"
"2005","Shandong Luneng","China","1","0","0"
"2006","Chengdu Wuniu","China","2","1","0"
"2007","Shandong Luneng","China","1","0","0"
"2008","Jiangsu Sainty","China","2","24","0"
"2009","Jiangsu Sainty","China","1","15","0"
"2010","Jiangsu Sainty","China","1","17","0"
"2011","Jiangsu Sainty","China","1","9","0"
"2012","Jiangsu Sainty","China","1","0","0"
"2013","Jiangsu Sainty","China","1","11","0"
