Club	Played	Won	Drawn	Lost	Points for	Points against	Bonus points	Points
Biarritz Olympique	26	19		7	694	350	14	90
Stade Français	26	19		7	633	437	13	89
Stade Toulousain	26	19		7	713	427	12	88
USA Perpignan	26	18		8	671	398	12	84
SU Agen	26	15		11	655	540	10	70
CS Bourgoin-Jallieu	26	14		12	591	516	11	67
Castres Olympique	26	13		13	685	559	14	66
ASM Clermont	26	14		12	577	569	7	63
CA Brive	26	10	1	15	431	553	9	51
RC Narbonne	26	11		15	533	775	3	47
Montpellier RC	26	9	0	17	574	659	10	46
Aviron Bayonnais	26	8	1	17	514	669	9	43
Section Paloise	26	9	0	17	476	790	4	40
RC Toulonnais	26	3	0	23	332	837	7	19
