| Number | Event                                  | Type                    | Matthew          | Mark           | Luke          | John          |
| 1      | Pre-existence of Christ                | miscellaneous           |                  |                |               | John 01:01–18 |
| 2      | Genealogy of Jesus                     | nativity                | Matthew 01:01–17 |                | Luke 03:23–38 |               |
| 3      | Birth of John the Baptist              | nativity                |                  |                | Luke 01:05–25 |               |
| 4      | Annunciation                           | nativity                |                  |                | Luke 01:26–38 |               |
| 5      | Visitation of Mary                     | nativity                |                  |                | Luke 01:39–56 |               |
| 6      | Birth of Jesus                         | nativity                | Matthew 01:18–25 |                | Luke 02:01–07 |               |
| 7      | Annunciation to the shepherds          | nativity                |                  |                | Luke 02:08–15 |               |
| 8      | Adoration of the shepherds             | nativity                |                  |                | Luke 02:16–20 |               |
| 9      | Circumcision of Jesus                  | nativity                |                  |                | Luke 02:21    |               |
| 10     | Infant Jesus at the Temple             | nativity                |                  |                | Luke 02:22–38 |               |
| 11     | Star of Bethlehem                      | nativity                | Matthew 02:01–02 |                |               |               |
| 12     | Visit of the Magi                      | nativity                | Matthew 02:03–12 |                |               |               |
| 13     | Flight into Egypt                      | nativity                | Matthew 02:13–15 |                |               |               |
| 14     | Massacre of the Innocents              | nativity                | Matthew 02:16–18 |                |               |               |
| 15     | Herod the Great's death                | miscellaneous           | Matthew 02:19–20 |                |               |               |
| 16     | Return of young Jesus to Nazareth      | youth                   | Matthew 02:21–23 |                | Luke 02:39–39 |               |
| 17     | Finding Jesus in the Temple            | youth                   |                  |                | Luke 02:41–51 |               |
| 18     | John the Baptist                       | miscellaneous           |                  | Mark 01:01–08  |               |               |
| 19     | Ministry of John the Baptist           | miscellaneous           | Matthew 03:01–12 |                |               | John 01:19–34 |
| 20     | Baptism of Jesus                       | miscellaneous           | Matthew 03:13–17 | Mark 01:09–11  | Luke 03:21–22 |               |
| 21     | Temptation of Jesus                    | miscellaneous           | Matthew 04:01–11 | Mark 01:12–13  | Luke 04:01–13 |               |
| 22     | Marriage at Cana                       | miracle                 |                  |                |               | John 02:01–11 |
| 24     | Jesus & Nicodemus                      | ministry                |                  |                |               | John 03:01–21 |
| 25     | Return of Jesus to Galilee             | ministry                | Matthew 04:12–12 | Mark 01:14–14  |               | John 04:01–03 |
| 26     | Exorcism at the Synagogue in Capernaum | miracle                 |                  | Mark 01:21–28  | Luke 04:31–37 |               |
| 27     | The Growing Seed                       | parable                 |                  | Mark 04:26–29  |               |               |
| 28     | Hometown rejection of Jesus            | ministry                | Matthew 04:13–16 | Mark 06:01–06  | Luke 04:16–30 |               |
| 29     | First disciples of Jesus               | ministry                | Matthew 04:18–22 | Mark 01:16–20  |               | John 01:35–51 |
| 30     | Miraculous draught of fishes           | miracle                 |                  |                | Luke 05:01–11 |               |
| 31     | Beatitudes                             | sermon                  | Matthew 05:02–12 |                | Luke 06:20–23 |               |
| 32     | Young Man from Nain                    | miracle                 |                  |                | Luke 07:11–17 |               |
| 33     | The Two Debtors                        | parable                 |                  |                | Luke 07:41–43 |               |
| 34     | The Lamp under a Bushel                | parable                 | Matthew 05:14–15 | Mark 04:21–25  | Luke 08:16–18 |               |
