Name	Nation	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	Total Apps	Total Goals
John Battye	England	DF	22	0	0	0	22	0
Eddie Boot	England	DF	38	0	1	0	39	0
Tom Briggs	England	DF	4	0	0	0	4	0
Ronnie Burke	England	FW	12	5	0	0	12	5
Ian Duthie	Scotland	MF	1	0	0	0	1	0
Charlie Gallogly	Northern Ireland	DF	15	0	0	0	15	0
Jimmy Glazzard	England	FW	21	5	1	0	22	5
Harold Hassall	England	FW	10	4	1	0	11	4
Bill Hayes	Republic of Ireland	DF	17	0	1	0	18	0
George Hepplewhite	England	DF	36	0	1	0	37	0
Bob Hesford	England	GK	6	0	0	0	6	0
George Howe	England	DF	5	0	0	0	5	0
Jack Howe	England	DF	20	1	1	0	21	1
Donald Hunter	England	DF	7	0	0	0	7	0
Joe Lynn	England	MF	5	0	0	0	5	0
Don McEvoy	England	DF	5	2	0	0	5	2
Johnny McKenna	Northern Ireland	MF	40	3	1	0	41	3
Vic Metcalfe	England	MF	41	11	1	0	42	11
Harry Mills	England	GK	34	0	1	0	35	0
Lol Morgan	England	DF	6	0	0	0	6	0
Albert Nightingale	England	MF	39	7	1	0	40	7
Jack Percival	England	DF	7	0	0	0	7	0
Arnold Rodgers	England	FW	4	2	0	0	4	2
Conway Smith	England	MF	10	0	0	0	10	0
Henry Stewart	England	DF	15	0	0	0	15	0
Jeff Taylor	England	FW	21	11	0	0	21	11
Ray Taylor	England	MF	2	0	0	0	2	0
Jack Wheeler	England	GK	2	0	0	0	2	0
Bill Whittaker	England	DF	16	0	0	0	16	0
Harry Yates	England	MF	1	0	0	0	1	0
