"Player","Career","Nickname","Team Inducted As"
"Hank Aaron","1954–76","\"Hammer\", \"Hammerin’ Hank\" or \"Bad Henry\"","Milwaukee Braves"
"Grover Cleveland Alexander","1911–30","\"Old Pete\"","Philadelphia Phillies"
"Roberto Alomar","1988–04","\"Robbie\"","Toronto Blue Jays"
"Walter Alston","1954–76","\"Smokey\"","Los Angeles Dodgers"
"Sparky Anderson","1970–95","\"Sparky\" or \"Captain Hook\"","Cincinnati Reds"
"Cap Anson","1871–97","\"Cap\", \"Pop\", \"Uncle\" or \"Captain\"","Chicago White Stockings"
"Luis Aparicio","1956–73","\"Little Louie\"","Chicago White Sox"
"Luke Appling","1930–50","\"Old Aches & Pains\", \"Luscious Luke\", \"Fumblefoot\" or \"Kid Boots\"","Chicago White Sox"
"Richie Ashburn","1948–62","\"Putt-Putt\" or \"Whitey\"","Philadelphia Phillies"
"Earl Averill","1929–41","\"Rock\" or \"Earl of Snohomish\"","Cleveland Indians"
"Frank Baker","1908–22","\"Home Run\"","Philadelphia Athletics"
"Dave Bancroft","1915–30","\"Beauty\"","Philadelphia Phillies"
"Ernie Banks","1953–71","\"Mr. Cub\"","Chicago Cubs"
"Jake Beckley","1888–1907","\"Eagle Eye\"","Pittsburgh Pirates"
"James Bell","1922–1938, 1942, 1947–1950","\"Cool Papa\"","St. Louis Stars"
"Johnny Bench","1967–83","\"Little General\"","Cincinnati Reds"
"Chief Bender","1903–25","\"Chief\"","Philadelphia Athletics"
"Yogi Berra","1946–65","\"Yogi\"","New York Yankees"
"Wade Boggs","1982–99","\"Chicken Man\"","Boston Red Sox"
"Jim Bottomley","1922–37","\"Sunny Jim\"","St. Louis Cardinals"
"Roger Bresnahan","1897–1915","\"The Duke of Tralee\"","New York Giants"
"Lou Brock","1961–79","\"The Franchise\"","St. Louis Cardinals"
"Dan Brouthers","1879–96","\"Big Dan\" or \"Alderman\"","Buffalo Bisons"
"Mordecai Brown","1903–16","\"Three Finger\" or \"Miner\"","Chicago Cubs"
"Jesse Burkett","1890–1905","\"Crab\"","Cleveland Spiders"
"Roy Campanella","1948–57","\"Campy\"","Brooklyn Dodgers"
"Max Carey","1910–29","\"Scoops\"","Pittsburgh Pirates"
"Steve Carlton","1965–88","\"Lefty\"","Philadelphia Phillies"
"Gary Carter","1974–92","\"The Kid\"","Montreal Expos"
"Orlando Cepeda","1958–74","\"Baby Bull\" or \"Cha Cha\"","San Francisco Giants"
"Frank Chance","1898–1914","\"Husk\", \"The Peerless Leader\" and part of \"Tinker to Evers to Chance\"","Chicago Cubs"
"Happy Chandler","1945–1951","\"Happy\"","N/A"
"Jack Chesbro","1899–1909","\"Happy Jack\"","New York Yankees"
"Fred Clarke","1897–1915","\"Cap\"","Pittsburgh Pirates"
"Roberto Clemente","1955–72","\"Arriba\" or \"Bob\"","Pittsburgh Pirates"
"Ty Cobb","1905–28","\"The Georgia Peach\"","Detroit Tigers"
"Mickey Cochrane","1925–37","\"Black Mike\" or \"Mickey\"","Detroit Tigers"
