"Year","Competition","Venue","Position","Notes"
"2005","World Youth Championships","Marrakech, Morocco","6th","5.05 m"
"2006","World Junior Championships","Beijing, China","5th","5.30 m"
"2008","Olympic Games","Beijing, China","10th","5.45 m"
"2009","European U23 Championships","Kaunas, Lithuania","8th","5.15 m"
"2009","World Championships","Berlin, Germany","22nd (q)","5.40 m"
"2010","European Championships","Barcelona, Spain","10th","5.60 m"
"2011","World Championships","Daegu, South Korea","9th","5.65 m"
"2012","European Championships","Helsinki, Finland","6th","5.60 m"
"2012","Olympic Games","London, United Kingdom","8th","5.65 m"
"2013","European Indoor Championships","Gothenburg, Sweden","5th","5.71 m"
"2014","World Indoor Championships","Sopot, Poland","3rd","5.80 m"
