Name of place	Number of counties	Principal county	Lower zip code	Upper zip code
Sabinsville	1	Tioga County	16943	
Sabula	1	Clearfield County	15801	
Sackett	1	Elk County	16735	
Sackville	1	Delaware County		
Saco	1	Bradford County	18850	
Saco	1	Lackawanna County		
Sacramento	1	Schuylkill County	17968	
Sadlers Corner	1	Venango County		
Sadsbury Meeting House	1	Lancaster County		
Sadsbury Township	1	Chester County		
Sadsbury Township	1	Crawford County		
Sadsbury Township	1	Lancaster County		
Sadsburyville	1	Chester County	19369	
Saegers	1	Lycoming County		
Saegersville	1	Lehigh County	18053	
Saegertown	1	Crawford County	16433	
Safe Harbor	1	Lancaster County	17516	
Sagamore	1	Armstrong County	16250	
Sagamore	1	Fayette County	15446	
Sagamore Estates	1	Pike County		
Saginaw	1	York County	17347	
Sagon	1	Northumberland County	17872	
Sagon Junction	1	Northumberland County		
St. Albans	1	Delaware County	19073	
St. Augustine	1	Cambria County	16636	
St. Benedict	1	Cambria County	15773	
St. Boniface	1	Cambria County	16675	
St. Charles	1	Clarion County	16242	
St. Clair	1	Allegheny County		
St. Clair	1	Schuylkill County	17970	
St. Clair	1	Westmoreland County	15601	
St. Clair Acres	1	Allegheny County	15241	
St. Clair Township	1	Westmoreland County		
St. Clairsville	1	Bedford County	16667	
St. Davids	1	Delaware County	19087	
St. George	1	Venango County	16374	
St. Joe	1	Butler County		
St. Johns	1	Luzerne County	18247	
St. Joseph	1	Susquehanna County	18818	
St. Lawrence	1	Berks County	19606	
St. Lawrence	1	Cambria County	16668	
St. Leonard	1	Bucks County	18940	
St. Martins	1	Philadelphia County		
St. Marys	1	Chester County		
St. Marys	1	Elk County	15857	
Saint Marys Seminary	1	Montgomery County		
St. Michael	1	Cambria County	15951	
St. Michael-Sidman	1	Cambria County		
St. Nicholas	1	Schuylkill County	17948	
St. Paul	1	Somerset County	15552	
Saint Pauls Church	1	Philadelphia County		
St. Peters	1	Chester County	19470	
St. Petersburg	1	Clarion County	16054	
St. Thomas	1	Franklin County	17252	
St. Thomas Township	1	Franklin County		
St. Vincent College	1	Westmoreland County	15650	
St. Vincent Shaft	1	Westmoreland County	15650	
Salco	1	Somerset County	15530	
Salem	1	Clearfield County	15801	
Salem	1	Franklin County	17201	
Salem	1	Mercer County	16125	
Salem	1	Snyder County	17870	
Salem Harbor	1	Bucks County	19020	
Salem Township	1	Clarion County		
Salem Township	1	Luzerne County		
Salem Township	1	Mercer County		
Salem Township	1	Wayne County		
Salem Township	1	Westmoreland County		
Salemville	1	Bedford County	16664	
Salford	1	Montgomery County	18957	
Salford Heights	1	Montgomery County	19438	
Salford Township	1	Montgomery County		
Salfordville	1	Montgomery County	18958	
Salida	1	Allegheny County	15227	
Salina	1	Westmoreland County	15680	
Salisbury	1	Somerset County	15558	
Salisbury Heights	1	Lancaster County	17527	
Salisbury Junction	1	Somerset County	15552	
Salisbury Township	1	Lancaster County		
Salisbury Township	1	Lehigh County		
Salix	1	Cambria County	15952	
Salix-Beauty Line Park	1	Cambria County		
Salladasburg	1	Lycoming County	17740	
Sally Ann	1	Berks County		
Salona	1	Clinton County	17767	
Saltillo	1	Huntingdon County	17253	
Saltlick Township	1	Fayette County		
Saltsburg	1	Indiana County	15681	
Salunga	1	Lancaster County	17538	
Salunga-Landisville	1	Lancaster County		
Saluvia	1	Fulton County	17228	
Sample	1	Allegheny County		
Sample Heights	1	Allegheny County	15209	
Sample Run	1	Indiana County	15728	
Sample Spur Junction	1	Lawrence County		
Sampson	1	Erie County		
Sampson	1	Washington County	15063	
Sampson-Grandview-Eldora	1	Washington County		
Sanatoga	1	Montgomery County	19464	
Sanatoga Park	1	Montgomery County	19464	
Sanbourn	1	Clearfield County	16651	
Sand Beach	1	Dauphin County	17033	
Sand Hill	1	Lebanon County	17042	
