Month	Day	Visitor	Score	Home	Score
Jan.	2	Wanderers	6	Victorias	5 (10' overtime)
Jan.	5	Montreal	5	Shamrocks	3
Jan.	5	Quebec	1	Ottawa	6
Jan.	9	Wanderers	6	Montreal	3
Jan.	12	Ottawa	2	Wanderers	4
Jan.	12	Victorias	10	Quebec	1
Jan.	16	Victorias	16	Shamrocks	3
Jan.	19	Shamrocks	2	Ottawa	6
Jan.	19	Quebec	8	Montreal	15
Jan.	23	Victorias	12	Montreal	6
Jan.	26	Ottawa	12	Victorias	10
Jan.	26	Wanderers	11	Quebec	3
Jan.	30	Shamrocks	5	Montreal	3
Feb.	2	Montreal	2	Ottawa	5
Feb.	2	Quebec	8	Shamrocks	11
Feb.	6	Wanderers	5	Victorias	2
Feb.	9	Ottawa	5	Quebec	4 (2' overtime)
Feb.	9	Montreal	3	Wanderers	16
Feb.	13	Shamrocks	7	Victorias	19
Feb.	16	Victorias	7	Ottawa	16
Feb.	16	Quebec	5	Wanderers	13
Feb.	19	Shamrocks	5	Wanderers	18
Feb.	23	Ottawa	12	Shamrocks	6
Feb.	23	Montreal	5	Quebec	9
Feb.	27	Montreal	8	Victorias	13
Mar.	2	Wanderers	10	Ottawa	6
Mar.	2	Quebec	6	Victorias	7
Mar.	6	Shamrocks	5	Wanderers	16
Mar.	9	Ottawa	6	Montreal	8
Mar.	9	Shamrocks	5	Quebec	17
