Name	Gender	Age	From	Occupation	Prize Money (USD)	Status
Trisha	Female	28	Santa Monica, CA	Artist	$26,000	Winner
London	Male	46	Mt. Holly, NJ	US Coast Guard (Retired)	$0	Lost
Adria	Female	25	Seattle, WA	Bartender	$0	7th Captured (by Ricky Ortiz)
Lucas	Male	32	Carlsbad, CA	Student	$0	6th Captured (by Kim)
Andrew	Male	21	Redondo Beach, CA	Student / Lifeguard	$0	5th Captured (by Kim)
Tracy	Female	30	Mililani, HI	Student	$0	4th Captured (by Grant)
Lynda	Female	59	Los Angeles, CA	General Contractor	$0	3rd Captured (by Icey)
Darin	Male	46	Fontana, CA	Sports Official	$0	2nd Captured (by Wong)
Evan	Male	29	Long Island, NY	Teacher	$2,000	Opted Out
Ameenah	Female	34	Atlanta, GA	Drummer	$0	1st Captured (by Grant)
