Album title	Format	Year	Original label	Chart positions
Distant Plastic Trees	LP	1991	Red Flame	—
The Wayward Bus	LP	1992	PoPuP	—
The House of Tomorrow	EP	1992	Feel Good All Over	—
The Charm of the Highway Strip	LP	1994	Merge Records	—
Holiday	LP	1994	Feel Good All Over	—
Get Lost	LP	1995	Merge Records	—
69 Love Songs	LP	1999	Merge Records	—
i	LP	2004	Nonesuch Records	#152 (Billboard 200)
Distortion	LP	2008	Nonesuch Records	#77 (Billboard 200)
Realism	LP	2010	Nonesuch Records	#110 (Billboard 200)
Love at the Bottom of the Sea	LP	2012	Merge Records	#89 (Billboard 200)
