Rank	Heat	Nation	Competitors	Time	Notes
1	2	United States	Kelly Willie, Derrick Brew, Andrew Rock, Darold Williamson	2:59.30	Q
2	2	Nigeria	James Godday, Musa Audu, Saul Weigopwa, Enefiok Udo-Obong	3:01.60	Q, SB
3	2	Bahamas	Andrae Williams, Dennis Darling, Nathaniel McKinney, Christopher Brown	3:01.74	Q, SB
4	1	Great Britain	Timothy Benjamin, Sean Baldock, Malachi Davis, Matthew Elias	3:02.40	Q, SB
5	1	Japan	Yuki Yamaguchi, Jun Osakada, Tomohiro Ito, Mitsuhiro Sato	3:02.71	Q
6	1	Germany	Ingo Schultz, Kamghe Gaba, Ruwen Faller, Bastian Swillims	3:02.77	Q
7	1	Australia	John Steffensen, Clinton Hill, Patrick Dwyer, Mark Ormrod	3:03.06	q
8	1	Botswana	Oganeditse Moseki, Johnson Kubisa, California Molefe, Kagiso Kilego	3:03.32	q, SB
9	2	Russia	Aleksandr Larin, Andrey Rudnitskiy, Oleg Mishukov, Ruslan Mashchenko	3:03.35	
10	2	Poland	Piotr Rysiukiewicz, Piotr Klimczak, Marcin Marciniszyn, Marek Plawgo	3:03.69	
11	2	Ukraine	Volodymyr Demchenko, Yevgeniy Zyukov, Myhaylo Knysh, Andriy Tverdostup	3:04.01	
12	1	Greece	Stilianos Dimotsios, Anastasios Gousis, Panagiotis Sarris, Periklis Iakovakis	3:04.27	SB
13	1	France	Ahmed Douhou, Ibrahima Wade, Abderrahim El Haouzy, Leslie Djhone	3:04.39	
14	2	Spain	Eduardo Ivan Rodriguez, David Canal, Luis Flores, Antonio Manuel Reina	3:05.03	SB
	2	South Africa	Marcus la Grange, Hendrick Mokganyetsi, Ockert Cilliers, Arnaud Malherbe	DNF	
	1	Jamaica	Michael Campbell, Michael Blackwood, Jermaine Gonzales, Davian Clarke	DSQ	
