"Draw","Artist","Song","Jury","Televote","Total","Place"
"1","Kasia Nova","\"The Devil\"","0","1","1","11"
"2","Edi Ann","\"Lovin’U\"","7","5","12","4"
"3","Izabela Kopeć","\"You've got my love\"","4","6","10","6"
"4","Starnawski & Urban Noiz","\"It's not a game\"","5","0","5","10"
"5","Queens","\"I say my body\"","0","0","0","12"
"6","Isis Gee","\"For life\"","12","12","24","1"
"7","Man Meadow","\"Viva la Musica\"","2","10","12","3"
"8","Afromental","\"Thing we’ve got\"","3","4","7","9"
"9","Plastic","\"Do something\"","10","2","12","5"
"10","Sandra Oxenryd","\"Superhero\"","6","3","9","8"
"11","Natasza Urbańska","\"Blow Over\"","8","7","15","2"
"12","Margo","\"Dlatego walcz\"","1","8","9","7"
