"Year","Time","Windspeed","City","Date",""
"2000","11.45","−2.3","Kingston","13 March","The progression of Powell's 100 m seasons' best times"
"2001","10.50","0.40","Kingston","22 June","The progression of Powell's 100 m seasons' best times"
"2002","10.12","1.30","Rovereto","28 August","The progression of Powell's 100 m seasons' best times"
"2003","10.02","0.80","Brussels","5 September","The progression of Powell's 100 m seasons' best times"
"2004","9.87","0.20","Brussels","3 September","The progression of Powell's 100 m seasons' best times"
"2005","9.77","1.60","Athens","14 June","The progression of Powell's 100 m seasons' best times"
"2006","9.77","1.00","Zürich","15 August","The progression of Powell's 100 m seasons' best times"
"2007","9.74","1.70","Rieti","9 September","The progression of Powell's 100 m seasons' best times"
"2008","9.72","0.20","Lausanne","2 September","The progression of Powell's 100 m seasons' best times"
"2009","9.82","1.40","Szczecin","15 September","The progression of Powell's 100 m seasons' best times"
"2010","9.82","0.60","Rome","10 June","The progression of Powell's 100 m seasons' best times"
"2011","9.78","1.00","Lausanne","30 June","The progression of Powell's 100 m seasons' best times"
