"Year","Division","League","Reg. Season","Playoffs","National Cup"
"1931","1","ASL","6th (Fall)","No playoff","N/A"
"Spring 1932","1","ASL","5th?","No playoff","1st Round"
"Fall 1932","1","ASL","3rd","No playoff","N/A"
"Spring 1933","1","ASL","?","?","Final"
"1933/34","N/A","ASL","2nd","No playoff","?"
"1934/35","N/A","ASL","2nd","No playoff","?"
"1935/36","N/A","ASL","1st","Champion (no playoff)","?"
"1936/37","N/A","ASL","5th, National","Did not qualify","Champion"
"1937/38","N/A","ASL","3rd(t), National","1st Round","?"
"1938/39","N/A","ASL","4th, National","Did not qualify","?"
"1939/40","N/A","ASL","4th","No playoff","?"
"1940/41","N/A","ASL","6th","No playoff","?"
"1941/42","N/A","ASL","3rd","No playoff","?"
"1942/43","N/A","ASL","6th","No playoff","?"
"1943/44","N/A","ASL","9th","No playoff","?"
"1944/45","N/A","ASL","9th","No playoff","?"
"1945/46","N/A","ASL","5th","No playoff","?"
"1946/47","N/A","ASL","6th","No playoff","?"
"1947/48","N/A","ASL","6th","No playoff","?"
"1948/49","N/A","ASL","1st(t)","Finals","?"
"1949/50","N/A","ASL","3rd","No playoff","?"
"1950/51","N/A","ASL","5th","No playoff","?"
"1951/52","N/A","ASL","6th","No playoff","?"
"1952/53","N/A","ASL","6th","No playoff","Semifinals"
"1953/54","N/A","ASL","1st","Champion (no playoff)","Champion"
"1954/55","N/A","ASL","8th","No playoff","?"
"1955/56","N/A","ASL","6th","No playoff","?"
