"","Name on the Register","Date listed","Location","City or town","Summary"
"1","Back River Farm","June 22, 1984
(#84003236)","Bay View Rd.
43°08′21″N 70°51′16″W﻿ / ﻿43.139167°N 70.854444°W","Dover",""
"2","Canaan Chapel","March 11, 1982
(#82001877)","Canaan Rd.
43°12′09″N 71°06′04″W﻿ / ﻿43.2025°N 71.101111°W","Barrington",""
"3","County Farm Bridge","May 21, 1975
(#75000237)","Northwest of Dover on County Farm Rd.
43°13′14″N 70°56′38″W﻿ / ﻿43.220556°N 70.943889°W","Dover","Over Cocheco River"
"4","Durham Historic District","May 31, 1980
(#80000308)","Main St. and Newmarket Rd.
43°07′47″N 70°55′10″W﻿ / ﻿43.129722°N 70.919444°W","Durham",""
"5","Farmington Town Pound","September 2, 1993
(#93000884)","Northwestern side of Pound Rd. 300 ft (91 m) north of the junction of Ten Rod Rd.
43°21′33″N 71°04′49″W﻿ / ﻿43.359167°N 71.080278°W","Farmington",""
"6","First Parish Church","March 11, 1982
(#82001696)","218 Central Ave.
43°10′56″N 70°52′27″W﻿ / ﻿43.182222°N 70.874167°W","Dover",""
"7","First Parish Church Site-Dover Point","May 27, 1983
(#83001153)","Dover Point Rd.
43°08′26″N 70°50′21″W﻿ / ﻿43.140556°N 70.839167°W","Dover",""
"8","Free Will Baptist Church","November 13, 1980
(#80000310)","Ridge Top Road
43°23′59″N 71°09′33″W﻿ / ﻿43.399722°N 71.159167°W","New Durham",""
"9","Garrison Hill Park and Tower","September 11, 1987
(#87001413)","Abbie Sawyer Memorial Dr.
43°12′34″N 70°52′13″W﻿ / ﻿43.209444°N 70.870278°W","Dover",""
"10","Green Street School","March 7, 1985
(#85000481)","104 Green St.
43°15′23″N 70°51′50″W﻿ / ﻿43.256389°N 70.863889°W","Somersworth",""
"11","William Hale House","November 18, 1980
(#80000309)","5 Hale St.
43°11′36″N 70°52′29″W﻿ / ﻿43.193376°N 70.874858°W","Dover",""
"12","Richard Hayes House","February 27, 1986
(#86000283)","184 Gonic Rd.
43°15′38″N 70°58′44″W﻿ / ﻿43.260556°N 70.978889°W","Rochester",""
"13","Jenness Farm","March 2, 2001
(#01000206)","626 Pickering Rd.
43°14′36″N 70°56′12″W﻿ / ﻿43.243333°N 70.936667°W","Rochester",""
