| Town/Village         | Population | Postal Code | Municipality | Island      | Location                                      |
| Akrar                | 28         | FO 927      | Sumbiar      | Suðuroy     | 61°27′20″N 6°45′33″W﻿ / ﻿61.45556°N 6.75917°W |
| Argir                | 1907       | FO 160      | Tórshavnar   | Streymoy    | 61°59′53″N 6°46′23″W﻿ / ﻿61.99806°N 6.77306°W |
| Ánir                 | 13         | FO 726      | Klaksvíkar   | Borðoy      | 62°15′23″N 6°34′40″W﻿ / ﻿62.25639°N 6.57778°W |
| Árnafjørður          | 49         | FO 727      | Klaksvíkar   | Borðoy      | 62°15′21″N 6°32′3″W﻿ / ﻿62.25583°N 6.53417°W  |
| Bøur                 | 70         | FO 386      | Sørvágs      | Vágar       | 62°5′27″N 7°22′3″W﻿ / ﻿62.09083°N 7.36750°W   |
| Dalur                | 48         | FO 235      | Húsavíkar    | Sandoy      | 61°46′56″N 6°40′32″W﻿ / ﻿61.78222°N 6.67556°W |
| Depil                | 2          | FO 735      | Hvannasunds  | Borðoy      | 62°17′10″N 6°31′39″W﻿ / ﻿62.28611°N 6.52750°W |
| Eiði                 | 651        | FO 470      | Eiðis        | Eysturoy    | 62°18′1″N 7°5′20″W﻿ / ﻿62.30028°N 7.08889°W   |
| Elduvík              | 27         | FO 478      | Runavíkar    | Eysturoy    | 62°16′57″N 6°54′35″W﻿ / ﻿62.28250°N 6.90972°W |
| Fámjin               | 113        | FO 870      | Fámjins      | Suðuroy     | 61°31′35″N 6°52′37″W﻿ / ﻿61.52639°N 6.87694°W |
| Froðba               | 137        | FO 825      | Tvøroyrar    | Suðuroy     | 61°32′53″N 6°46′20″W﻿ / ﻿61.54806°N 6.77222°W |
| Fuglafjørður         | 1542       | FO 530      | Fuglafjarðar | Eysturoy    | 62°14′40″N 6°48′52″W﻿ / ﻿62.24444°N 6.81444°W |
| Funningsfjørður      | 65         | FO 477      | Runavíkar    | Eysturoy    | 62°14′17″N 6°55′44″W﻿ / ﻿62.23806°N 6.92889°W |
| Funningur            | 83         | FO 475      | Funnings     | Eysturoy    | 62°17′17″N 6°58′2″W﻿ / ﻿62.28806°N 6.96722°W  |
| Gásadalur            | 14         | FO 387      | Sørvágs      | Vágar       | 62°6′44″N 7°26′5″W﻿ / ﻿62.11222°N 7.43472°W   |
| Gjógv                | 52         | FO 476      | Sunda        | Eysturoy    | 62°19′30″N 6°56′28″W﻿ / ﻿62.32500°N 6.94111°W |
| Glyvrar              | 421        | FO 625      | Runavíkar    | Eysturoy    | 62°7′53″N 6°43′27″W﻿ / ﻿62.13139°N 6.72417°W  |
| Gøtueiði             | 39         | FO 666      | Gøtu         | Eysturoy    | 62°10′30″N 6°46′19″W﻿ / ﻿62.17500°N 6.77194°W |
| Gøtugjógv            | 53         | FO 511      | Gøtu         | Eysturoy    | 62°11′25″N 6°44′47″W﻿ / ﻿62.19028°N 6.74639°W |
| Haldarsvík           | 164        | FO 440      | Sunda        | Streymoy    | 62°16′37″N 7°5′25″W﻿ / ﻿62.27694°N 7.09028°W  |
| Haraldssund          | 74         | FO 785      | Kunoyar      | Kunoy       | 62°16′20″N 6°36′7″W﻿ / ﻿62.27222°N 6.60194°W  |
| Hattarvík            | 17         | FO 767      | Fugloyar     | Fugloy      | 62°19′51″N 6°16′25″W﻿ / ﻿62.33083°N 6.27361°W |
| Hellur               | 26         | FO 695      | Fuglafjarðar | Eysturoy    | 62°15′49″N 6°50′40″W﻿ / ﻿62.26361°N 6.84444°W |
| Hestur               | 39         | FO 280      | Tórshavnar   | Hestur      | 61°57′27″N 6°53′13″W﻿ / ﻿61.95750°N 6.88694°W |
| Hov                  | 128        | FO 960      | Hovs         | Suðuroy     | 61°30′30″N 6°45′29″W﻿ / ﻿61.50833°N 6.75806°W |
| Hoyvík               | 2951       | FO 188      | Tórshavnar   | Streymoy    | 62°1′32″N 6°45′32″W﻿ / ﻿62.02556°N 6.75889°W  |
| Hósvík               | 299        | FO 420      | Sunda        | Streymoy    | 62°9′17″N 6°56′25″W﻿ / ﻿62.15472°N 6.94028°W  |
| Húsar                | 54         | FO 796      | Húsar        | Kalsoy      | 62°15′54″N 6°40′53″W﻿ / ﻿62.26500°N 6.68139°W |
| Húsavík              | 85         | FO 230      | Húsavíkar    | Sandoy      | 61°48′38″N 6°40′35″W﻿ / ﻿61.81056°N 6.67639°W |
| Hvalba               | 663        | FO 850      | Hvalbiar     | Suðuroy     | 61°36′7″N 6°56′58″W﻿ / ﻿61.60194°N 6.94944°W  |
| Hvalvík              | 218        | FO 430      | Sunda        | Streymoy    | 62°11′23″N 7°1′51″W﻿ / ﻿62.18972°N 7.03083°W  |
| Hvannasund           | 268        | FO 740      | Hvannasunds  | Viðoy       | 62°17′43″N 6°30′58″W﻿ / ﻿62.29528°N 6.51611°W |
| Hvítanes             | 97         | FO 187      | Tórshavnar   | Streymoy    | 62°2′48″N 6°46′10″W﻿ / ﻿62.04667°N 6.76944°W  |
| Innan Glyvur         | 81         | FO 494      | Sjóvar       | Eysturoy    | 62°8′21″N 6°45′24″W﻿ / ﻿62.13917°N 6.75667°W  |
| Kaldbak              | 218        | FO 180      | Tórshavnar   | Streymoy    | 62°3′47″N 6°49′34″W﻿ / ﻿62.06306°N 6.82611°W  |
| Kaldbaksbotnur       | 6          | FO 185      | Tórshavnar   | Streymoy    | 62°3′58″N 6°54′45″W﻿ / ﻿62.06611°N 6.91250°W  |
| Kirkja               | 28         | FO 766      | Fugloyar     | Fugloy      | 62°19′10″N 6°18′51″W﻿ / ﻿62.31944°N 6.31417°W |
