"Year","Total","Romanians","Hungarians","Roma"
"1850","4,541","69.3%","23.9%","6.5%"
"1880","4,636","63.0%","30.2%","n/a"
"1890","5,499","62.7%","31.6%","n/a"
"1900","5,553","64.3%","29.7%","n/a"
"1910","6,234","64.6%","30.4%","n/a"
"1920","5,887","71.6%","27.9%","n/a"
"1930","6,456","70.5%","22.8%","2.6%"
"1941","6,981","78.3%","19.4%","n/a"
"1956","6,649","74.7%","19.0%","6.0%"
"1966","6,991","80.9%","17.3%","1.7%"
"1977","7,089","78.1%","16.9%","4.9%"
"1992","5,723","74.1%","14.2%","11.6%"
"2002","5,506","74.4%","12.0%","13.6%"
"2011","4,574","70.7%","11.2%","17.9%"
