"Game","Date","Opponent","Location","Score","OT","Attendance","Record"
"1","January 6, 2006","Philadelphia Wings","Xcel Energy Center","L 11–15","","8,024","0–1"
"2","January 14, 2006","@ Philadelphia Wings","Wachovia Center","W 13–10","","11,874","1–1"
"3","January 20, 2006","@ Calgary Roughnecks","Pengrowth Saddledome","W 12–8","","10,637","2–1"
"4","January 21, 2006","Rochester Knighthawks","Xcel Energy Center","L 6–12","","7,124","2–2"
"5","January 29, 2006","Rochester Knighthawks","Xcel Energy Center","L 9–10","","7,544","2–3"
"6","February 3, 2006","@ Edmonton Rush","Rexall Place","W 7–6","","8,745","3–3"
"7","February 10, 2006","Philadelphia Wings","Xcel Energy Center","W 11–10","","7,524","4–3"
"8","February 18, 2006","@ Buffalo Bandits","HSBC Arena","L 9–14","","12,458","4–4"
"9","March 3, 2006","@ Toronto Rock","Air Canada Centre","L 8–13","","15,830","4–5"
"10","March 4, 2006","@ Buffalo Bandits","HSBC Arena","W 11–8","","10,961","5–5"
"11","March 17, 2006","@ Portland LumberJax","Rose Garden","W 14–12","","5,487","6–5"
"12","March 24, 2006","Buffalo Bandits","Xcel Energy Center","L 11–13","","9,533","6–6"
"13","April 1, 2006","Toronto Rock","Xcel Energy Center","W 10–9","","10,084","7–6"
"14","April 8, 2006","@ Rochester Knighthawks","Blue Cross Arena","L 9–10","","10,352","7–7"
"15","April 9, 2006","San Jose Stealth","Xcel Energy Center","W 9–8","OT","7,044","8–7"
"16","April 15, 2006","Portland LumberJax","Xcel Energy Center","L 8–13","","10,104","8–8"
