Name of place	Counties	Principal county	Lower zip code
Cabinhill	1	Delaware County	13752
Cadiz	1	Cattaraugus County	14737
Cadosia	1	Delaware County	13783
Cadyville	1	Clinton County	12918
Cagwin Corners	1	Oneida County	
Cahoonzie	1	Orange County	12780
Cains Corners	1	Oswego County	
Cairo	1	Greene County	12413
Cairo Junction	1	Greene County	
Calciana	1	Wayne County	
Calcium	1	Jefferson County	13616
Calcutta	1	Otsego County	12064
Caldwell	1	Warren County	
Caledonia	1	Livingston County	14423
Caledonia	1	Livingston County	
Calico Colony	1	Saratoga County	12065
Callanans Corners	1	Albany County	12143
Callicoon	1	Sullivan County	12723
Callicoon Center	1	Sullivan County	12724
Calverton	1	Suffolk County	11933
Calverton-Roanoke	1	Suffolk County	
Cambria	1	Niagara County	
Cambria Center	1	Niagara County	
Cambria Heights	1	Queens County	11411
Cambridge	1	Washington County	12816
Cambridge	1	Washington County	
Camby	1	Dutchess County	
Camden	1	Oneida County	13316
Camden	1	Oneida County	
Cameron	1	Steuben County	14819
Cameron	1	Steuben County	
Cameron Mills	1	Steuben County	14820
Camillus	1	Onondaga County	13031
Camillus	1	Onondaga County	
Campbell	1	Madison County	
Campbell	1	Steuben County	14821
Campbell Hall	1	Orange County	10916
Campbell Hall Junction	1	Orange County	
Camp Drum	1	Jefferson County	13602
Camp Hemlock	1	Sullivan County	12721
Camp Hill	1	Rockland County	10970
Camp Lakeland	1	Erie County	
Camp Pioneer	1	Erie County	
Camps Mills	1	Jefferson County	13601
Campville	1	Tioga County	13760
Camroden	1	Oneida County	13440
Canaan	1	Columbia County	12029
Canaan Center	1	Columbia County	12029
Canada Lake	1	Fulton County	12032
Canadice	1	Ontario County	14560
Canadice	1	Ontario County	
Canajoharie	1	Montgomery County	13317
Canajoharie	1	Montgomery County	
Canal Street	1	New York County	10013
Canandaigua	1	Ontario County	14424
Canandaigua	1	Ontario County	
Canarsie	1	Kings County	11236
Canaseraga	1	Allegany County	14822
Canastota	1	Madison County	13032
Canawaugus	1	Livingston County	14423
Candor	1	Tioga County	13743
Caneadea	1	Allegany County	14717
Canisteo	1	Steuben County	14823
Canisteo	1	Steuben County	
Canisteo Center	1	Steuben County	
Cannon Corners	1	Clinton County	12959
Canoe Place	1	Suffolk County	11946
Canoga	1	Seneca County	13148
Canoga Springs	1	Seneca County	
Canterbury Hill	1	Oneida County	13440
Canton	1	St. Lawrence County	13617
Cape Vincent	1	Jefferson County	13618
Cape Vincent	1	Jefferson County	
Capitol	1	Albany County	12224
Capitol Annex	1	Albany County	12225
Capitol Hills	1	Orange County	10950
Captain Kidd Estates	1	Suffolk County	11952
Cardiff	1	Onondaga County	13084
Cards Corners	1	Onondaga County	
Cardtown	1	Otsego County	
Careys Corners	1	Oneida County	
Carle Place	1	Nassau County	11514
Carle Terrace	1	Ulster County	12449
Carley Mills	1	Oswego County	
Carlisle	1	Schoharie County	12031
Carlisle	1	Schoharie County	
Carlisle Center	1	Schoharie County	12035
Carlisle Gardens	1	Niagara County	14094
Carlton	1	Orleans County	14411
Carlton	1	Orleans County	
Carman	1	Schenectady County	12303
Carmel	1	Putnam County	10512
Carmel	1	Putnam County	
Carmel Hamlet	1	Putnam County	
Carmel Hills	1	Putnam County	
Carmel Park Estates	1	Putnam County	10512
Carmen	1	Albany County	12303
Carmichael Hill	1	Oneida County	
Carnegie	1	Erie County	14075
Caroga	1	Fulton County	
Caroga Lake	1	Fulton County	12032
Caroline	1	Tompkins County	14817
Caroline	1	Tompkins County	
Caroline Center	1	Tompkins County	14817
Caroline Depot	1	Tompkins County	
Carpenters Corners	1	Fulton County	
Carroll	1	Cattaraugus County	
Carroll	1	Chautauqua County	
Carrollton	1	Cattaraugus County	14748
Carrollton	1	Cattaraugus County	
Carson	1	Steuben County	14823
Carterville	1	Oswego County	
Carthage	1	Jefferson County	13619
Carver	1	New York County	
Cascade	1	Cayuga County	13118
Cascade Valley	1	Broome County	
Case	1	Onondaga County	13084
Casowasco	1	Cayuga County	13118
Cass	1	Erie County	14206
Cassadaga	1	Chautauqua County	14718
Cassville	1	Oneida County	13318
Castile	1	Wyoming County	14427
Castile	1	Wyoming County	
Castile Center	1	Wyoming County	14427
Castle	1	Westchester County	10801
Castle Clinton National Monument	1	New York County	10005
Castle Creek	1	Broome County	13744
Castle Hill	1	Bronx County	10462
Castle Point	1	Dutchess County	12511
Castleton Corners	1	Richmond County	10314
Castleton on Hudson	1	Rensselaer County	12033
Castleton-on-Hudson	1	Rensselaer County	12033
Castorland	1	Lewis County	13620
Catatonk	1	Tioga County	13827
Catawba	1	Steuben County	
Catfish Corners	1	Oswego County	
Catharine	1	Schuyler County	14869
Catharine	1	Schuyler County	
Cathedral	1	New York County	10025
Catherine	1	Schuyler County	
Catherineville	1	St. Lawrence County	
Catlin	1	Chemung County	
Catlin Hill	1	Tioga County	
Town of Cato	1	Cayuga County	13033
Village of Cato	1	Cayuga County	
Caton	1	Steuben County	14830
Caton	1	Steuben County	
Cator Corners	1	Wayne County	
Catskill (town)	1	Greene County	12414
Catskill (village)	1	Greene County	
Cattaraugus	1	Cattaraugus County	14719
Cattaraugus Indian Reservation	3	Cattaraugus County	14204
Cattaraugus Indian Reservation	3	Chautauqua County	14204
Cattaraugus Indian Reservation	3	Erie County	14204
Cattaraugus Indian Reservation	1	Cattaraugus County	14204
Cattaraugus Indian Reservation	1	Chautauqua County	14204
Cattaraugus Indian Reservation	1	Erie County	14204
Cattown	1	Otsego County	13337
Caughdenoy	1	Oswego County	13036
Cauterskill	1	Greene County	
Cayuga	1	Cayuga County	13034
Cayuga Heights	1	Tompkins County	14850
Cayuga Junction	1	Cayuga County	
Cayuga Nation	2	Cattaraugus County	
Cayuga Nation	2	Cayuga County	
Cayuta	1	Schuyler County	14824
Cayuta	1	Schuyler County	
Cayutaville	1	Schuyler County	14805
Caywood	1	Seneca County	14860
Cazenovia	1	Madison County	13035
Cazenovia	1	Madison County	
Cecil Park	1	Westchester County	
Cedar Bluffs	1	Saratoga County	
Cedar Cliff	1	Orange County	
