"Week","Date","Opponent","Result","Record","TV Time","Attendance"
"1","September 9, 2001","at Philadelphia Eagles","W 20–17 (OT)","1–0","FOX 3:15pm","66,243"
"2","September 23, 2001","at San Francisco 49ers","W 30–26","2–0","FOX 3:15pm","67,536"
"3","September 30, 2001","Miami Dolphins","W 42–10","3–0","CBS 12:00pm","66,046"
"4","October 8, 2001","at Detroit Lions","W 35–0","4–0","ABC 8:00pm","77,765"
"5","October 14, 2001","New York Giants","W 15–14","5–0","FOX 12:00pm","65,992"
"6","October 21, 2001","at New York Jets","W 34–14","6–0","FOX 12:00pm","78,766"
"7","October 28, 2001","New Orleans Saints","L 34–31","6–1","FOX 12:00pm","66,189"
"8","Bye","Bye","Bye","Bye","Bye","Bye"
"9","November 11, 2001","Carolina Panthers","W 48–14","7–1","FOX 12:00pm","66,069"
"10","November 18, 2001","at New England Patriots","W 24–17","8–1","ESPN 7:30pm","60,292"
"11","November 26, 2001","Tampa Bay Buccaneers","L 24–17","8–2","ABC 8:00pm","66,198"
"12","December 2, 2001","at Atlanta Falcons","W 35–6","9–2","FOX 3:15pm","60,787"
"13","December 9, 2001","San Francisco 49ers","W 27–14","10–2","FOX 12:00pm","66,218"
"14","December 17, 2001","at New Orleans Saints","W 34–21","11–2","ABC 8:00pm","70,332"
"15","December 23, 2001","at Carolina Panthers","W 38–32","12–2","FOX 12:00pm","72,438"
"16","December 30, 2001","Indianapolis Colts","W 42–17","13–2","CBS 12:00pm","66,084"
"17","January 6, 2002","Atlanta Falcons","W 31–13","14–2","FOX 3:15pm","66,033"
