"Pos","No","Driver","Constructor","Laps","Time/Retired","Grid","Points"
"1","10","Juan Pablo Montoya","McLaren-Mercedes","60","1:24:29.588","3","10"
"2","5","Fernando Alonso","Renault","60","+2.739","1","8"
"3","9","Kimi Räikkönen","McLaren-Mercedes","60","+14.436","12 †","6"
"4","6","Giancarlo Fisichella","Renault","60","+17.914","6","5"
"5","3","Jenson Button","BAR-Honda","60","+40.264","2","4"
"6","1","Michael Schumacher","Ferrari","60","+1:15.322","9","3"
"7","2","Rubens Barrichello","Ferrari","60","+1:16.567","5","2"
"8","17","Ralf Schumacher","Toyota","60","+1:19.212","8","1"
"9","16","Jarno Trulli","Toyota","60","+1:20.851","4",""
"10","12","Felipe Massa","Sauber-Petronas","59","+1 Lap","16",""
"11","7","Mark Webber","Williams-BMW","59","+1 Lap","11",""
"12","8","Nick Heidfeld","Williams-BMW","59","+1 Lap","14",""
"13","14","David Coulthard","Red Bull-Cosworth","59","+1 Lap","13",""
"14","11","Jacques Villeneuve","Sauber-Petronas","59","+1 Lap","10",""
"15","15","Christian Klien","Red Bull-Cosworth","59","+1 Lap","15",""
"16","4","Takuma Sato","BAR-Honda","58","+2 Laps","7",""
"17","18","Tiago Monteiro","Jordan-Toyota","58","+2 Laps","20 ‡",""
"18","21","Christijan Albers","Minardi-Cosworth","57","+3 Laps","18",""
"19","20","Patrick Friesacher","Minardi-Cosworth","56","+4 Laps","19",""
"Ret","19","Narain Karthikeyan","Jordan-Toyota","10","Electrical","17",""
