| Season/Torneo     | Jornada or Other     | Home Team | Result | Away Team | Stadium          | Date               |
| 1983–1984 season  | 2                    | Chivas    | 1–1    | América   | Estadio Jalisco  | 11 September 1983  |
| 1983–1984 season  | 21                   | América   | 1–1    | Chivas    | Estadio Azteca   | 22 January 1984    |
| 1983–1984 season  | Final Ida            | Chivas    | 2–2    | América   | Estadio Jalisco  | 7 June 1984        |
| 1983–1984 season  | Final Vuelta         | América   | 3–1    | Chivas    | Estadio Azteca   | 10 June 1984       |
| 1984–1985 season  | 13                   | América   | 0–0    | Chivas    | Estadio Azteca   | 11 December 1984   |
| 1984–1985 season  | 32                   | Chivas    | 0–0    | América   | Estadio Jalisco  | 24 March 1985      |
| 1984–1985 season  | Quarterfinals Ida    | Chivas    | 0–2    | América   | Estadio Jalisco  | 7 May 1985         |
| 1984–1985 season  | Quarterfinals Vuelta | América   | 1–0    | Chivas    | Estadio Azteca   | 12 May 1985        |
| 1986–1987 season  | 3                    | América   | 1–0    | Chivas    | Estadio Azteca   | 17 August 1986     |
| 1986–1987 season  | 24                   | Chivas    | 2–2    | América   | Estadio Jalisco  | 11 January 1987    |
| 1987–1988 Season  | 15                   | América   | 1–0    | Chivas    | Estadio Azteca   | 20 December 1987   |
| 1987–1988 season  | 34                   | Chivas    | 3–2    | América   | Estadio Jalisco  | 15 May 1988        |
| 1988–1989 season  | 12                   | Chivas    | 2–2    | América   | Estadio Jalisco  | 29 December 1988   |
| 1988–1989 season  | 31                   | América   | 3–1    | Chivas    | Estadio Azteca   | 30 April 1989      |
| 1988-1989 Season  | Liguilla             | América   | 2-1    | Chivas    | Estadio Azteca   | June 22, 1989      |
| 1988-1989 Season  | Liquilla             | Chivas    | 1-2    | América   | Estadio Jalisco  | June 25, 1989      |
| 1989-1990 Season  | 3                    | Chivas    | 2-2    | América   | Estadio Jalisco  | September 24, 1989 |
| 1989-1990 Season  | 22                   | América   | 2-2    | Chivas    | Estadio Azteca   | January 14, 1990   |
