"Player","Rec.","Yards","Avg.","TD's","Long"
"Charles Frederick","115","1385","12","27","42"
"Jerel Myers","104","1183","11.4","21","38"
"Anthony Hines","58","822","14.2","12","39"
"Boo Williams","45","474","10.5","17","35"
"Ira Gooch","24","339","14.1","6","32"
"Sam Simmons","15","197","13.1","2","30"
"Kevin Beard","10","87","8.7","0","21"
"Dawan Moss","7","39","5.6","1","12"
"Cyron Brown","3","17","5.7","1","8"
"Larrell Johnson","3","14","4.7","0","6"
"Jamarr Wood","1","13","13","0","13"
"Cecil Moore","2","9","4.5","2","8"
"Raymond Philyaw","1","−6","−6","0","−6"
