| Year         | Name                                          | Location                                              | Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 1876         | Vandeveer's Bathing Pavilion Carousel         | Coney Island, New York                                | Name changed to Balmer's Bathing Pavilion menagerie, no jumpers, the first of over 25 carousels at Coney Island, burned in the Dreamland fire of 1911                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 1877         | Feltman's Carousel                            | Feltman's Beer Garden, Coney Island, New York         | menagerie, no jumpers, built, partially burned in the West Brighton fire of 1899, or possibly earlier because Feltman (the inventor of the hot dog) bought a second carousel from Looff in the 1890s. http://www.64nywf65.20m.com                                                                                                                                                                                                                                                                                                                                                                                           |
| 1880         | Coney Island Carousel                         | Coney Island, New York                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1886         | Half Moon Beach Carousel                      | Crescent, New York                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1888         | Palace Amusements Carousel                    | Historical Asbury Park, New Jersey                    | All horses had real horse hair tails. A few animals were carved by Gustav Dentzel to meet a deadline for the three row, brass ring carousel. Operated 1888-1988 until the beach-front, indoor amusement park, Palace Amusements, closed. The 78 animals were individually auctioned & the Carousel unit as one piece. Palace Amusements was put on the National Register of Historic Places before being demolished in 2004.                                                                                                                                                                                                |
| 1890         | Young's Pier Carousel                         | Young's Pier, Atlantic City, New Jersey               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1890         | Broadway Flying Horses Carousel               | Coney Island, New York                                | Located at Coney Island until 1905. At Salisbury Beach, Massachusetts. from 1914-1976. Moved to Seaport Village, San Diego, California in 1980                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| c. 1890      | Midland Beach Carousel                        | Midland Beach, Staten Island, New York                | operated 1890 to 1905, 3 abreast, menagerie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1890 to 1897 | South Beach Carousel                          | Staten Island, New York                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1891         | Rocky Point Amusement Park Carousel           | Warwick, Rhode Island                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1890 to 1897 | Narragansett Pier Carousel                    | Narragansett, Rhode Island                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1895         | Lincoln Park Carousel                         | Dartmouth, Massachusetts                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1896         | Lake Compounce Carousel                       | Lake Compounce, Bristol, Connecticut                  | originally located at Savin Rock, West Haven, Connecticut, moved to present location in 1911                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
