Name	Type	Circle	Bench	Formed	Notes
Saarbrücken	County			c1120	999: 1st mention of castellum Sarabrucca\nTo Bishops of Metz\nTo Counts of the Lower Saargau\nTo Counts of the Ardennes\n1353: Saarbrücken passed to the Walram line of the Counts of Nassau\n1381-1793: To Counts of Nassau-Saarbrücken\n1801-1815: To France\n1815: To Prussia
Saarwerden and Lahr	County				
Sagan	Duchy				
St Blaise in the Black Forest	Abbacy				
St Emmeram in Regensburg	RA				830-975: United to Augsburg\n1500: Bavarian Circle\n1793: Council of Princes
St. Gall	RA			1207	1799: Annexed to Helvetic Republic
St Gall	1401: Imperial city				1454: Associate of the Swiss Confederacy\n1648: Left the Empire\n1798: new Canton of Säntis in the Helvetic Republic\n1803: Canton of St. Gallen
St. George in Isny	Abbacy	Swab			1793: Council of Princes
St. Hubert	Abbacy				
St. John's Abbey in the Thurtal	HRE Abbey				
St. Kornelimünster	Abbacy	Low Rhen			1793: Council of Princes
St. Maximin (Trier)	HRE Abbey				
St. Peter	Jurisdiction				
Abbey of Saint Peter in the Black Forest	Abbacy				
St. Ulrich and St. Afra in Augsburg	Abbacy				1793: Council of Princes
Salem	RA				
Salm	1019: County\n1623: HRE Principality	n/a	n/a	1019	Partitioned from Saarbrücken\n1170: Partitioned into Lower Salm (line of Lords of Reifferscheid) and Upper Salm (line of "Wild- und Rheingrafen" or "Forest and Rhine Counts")\n1639: Salm-Reifferscheid-Dyck separated from Lower Salm\n1651: Upper Salm divided into Salm and Salm-Grumbach\n1654: HRE Council of Princes\n1676: Salm divided into Salm-Salm and Salm-Kyrburg\n1734: Lower Salm divided into Salm-Reifferscheid-Bedbur and Salm-Reifferscheid-Raitz
Salm-Badenweiler	County	Upp Rhen		1431	Partitioned from Upper Salm\n1520: Partitioned into itself and Salm-Neuburg\n1600: Annexed to Lorraine1608: Recreated\n1670: Annexed to France
Salm-Blankenburg	County	n/a	n/a	1246	Partitioned from Upper Salm\n1506: Annexed to Lorraine
Salm-Dhaun\nSalm-Daun\nForest and Rhine Count of Salm in Dhaun	1263: County\nWild- and Rhinegraviate	Upp Rhen	WF	1499	1263: Separated from Upper Salm\n1499-1574: Part of Salm\n1574: Partitioned into itself, Salm-Grumbach and Salm-Salm\n1697: Partitioned into itself and Salm-Puttlingen\n1750: Part of Salm-Grumbach\n1750: Annexed to Salm-Puttlingen\n1815: To Prussia
Salm-Grumbach	Wild- and Rhinegraviate	Upp Rhen	WF	1574	Partitioned from Salm-Dhaun\n1668: Partitioned into itself and Salm-Rheingrafenstein and Grehweiler\n1801: Annexed by France\n1803: Renamed Salm-Horstmar with new territories
Salm-Hoogstraten	Altgraviate	Upp Rhen	PR	1696	Partitioned from Salm-Neuweiler\n1739: Renamed to Salm-Salm
Salm-Horstmar\nForest and Rhine Count of Salm in Horstmar	County	Swab	SW	1803: Renamed from Salm-Dhaun	1269: Part of Bishopric of Munster\nAcquired County of Horstmar in Prussia and part of the County of Limpurg in Wurttemberg\n1803: Renamed from Salm-Dhaun\n1806: Annexed to Berg\n1810: Annexed by France\n1815: To Prussia\n1816: Prince of Salm-Horstmar in Prussia
Salm-Kyrburg	Wild- and Rhinegraviate	Upp Rhen	WF	1499	Partitioned from Upper Salm\n1607: Partitioned into itself, Salm-Mörchingen and Salm-Tronecken\n1681: Annexed to Salm-Mörchingen
Salm-Kyrburg\nPrince of Salm-Kyrburg, Sovereign Prince of Ahaus, Bocholt & Gemen, Forest Count of Dhaun & Kyrburg, Rhine Count of Stein	1086: County\n1742: Principality	Upp Rhen	PR		Acquired Principality of Overijse and Lordships of Leuze Pecq in Belgium\nAcquired Lordship of Boxen and Meer-Gestel in the Netherlands\n1806: Confederation of the Rhine\n1811: To France\n1813: Mediatized to Prussia\n1905: Line died out; style assumed by Princes of Salm-Salm\n1742: Partitioned from Salm-Leuze\n1815: To Prussia
Salm-Leuze	Wild- and Rhinegraviate, later Principality		PR	1696	Partitioned from Salm-Neuweiler\n1742: Partitioned into itself and Salm-Kyrburg\n1779: Annexed to Salm-Kyrburg
Salm-Mörchingen	Wild- and Rhinegraviate	Upp Rhen		1607	Partitioned from Salm-Kyrburg\n1688: Annexed to Salm-Neuweiler
Salm-Neuburg	Wild- and Rhinegraviate\nCounty Palatine from 1629	Upp Rhen	WF	1520	Partitioned from Salm-Badenweiler\n1653: Territories to Sinzendorf\n1784: Extinct
Salm-Neuweiler	Wild- and Rhinegraviate	Upp Rhen		1608	Partitioned from Salm-Salm\n1696: Partitioned into Salm-Hoogstraten and Salm-Leuze
Salm-Puttlingen	Wild- and Rhinegraviate	Upp Rhen		1697	Partitioned from Salm-Dhaun\n1748: Renamed to Salm-Dhaun
Salm-Reifferscheid	Altgraviate\n1455: County	Upp Rhen		1416	Created out of union of Lower Salm and Reifferscheid\n1639: Separated from Lower Salm\n1693: Partitioned into Salm-Reifferscheid-Bedbur and Salm-Reifferscheid-Dyck\n1801-1813: Annexed by France\n1815: To Prussia
Salm-Reifferscheid-Bedbur	County\nPrincipality from 1803	Upp Rhen	WF	1639	Partitioned from Salm-Reifferscheid\n1734: Partitioned into itself, Salm-Reifferscheid-Hainsbach and Salm-Reifferscheid-Raitz\n1804: Renamed to Salm-Reifferscheid-Krautheim
Salm-Reifferscheid-Dyck\nHRE Prince of Salm, Duke of Hoogstraeten, Forest Count of Dhaun and Kyrburg, Rhine Count of Stein, Lord of Diemeringen, Anholt	County	Low Rhen	WF		1806: Confederation of the Rhine\n1811: To France\n1813: Mediatized to Prussia\n1816: Prince of Salm-Reifferscheid-Dyck in Prussia\n1888: Line died out; style assumed by Princes of Salm-Reifferscheid-Krautheim
Salm-Reifferscheid-Hainsbach	County			1734	Partitioned from Salm-Reifferscheid-Bedbur
Salm-Reifferscheid-Krautheim	Principality	Swab	SW	1804	Renamed from Salm-Reifferscheid-Bedbur
Salm-Reifferscheid-Raitz	County\n1790: Principality	n/a	n/a	1734	Partitioned from Salm-Reifferscheid-Bedbur
Salm-Rheingrafenstein and Grehweiler	Wild- and Rhinegraviate	Upp Rhen	WF	1688	Partitioned from Salm-Grumbach
Salm-Salm	1574: County\nWild- and Rhinegraviate\n1623: Principality	Low Rhen, Upp Rhen	WF, PR	1574	Partitioned from Salm-Dhaun\n1608: Partitioned into itself and Salm-Neuweiler\n1738: Annexed to Salm-Hoogstraten
Salm-Salm\nHRE Prince of Salm, Duke of Hoogstraeten, Forest Count of Dhaun and Kyrburg, Rhine Count of Stein, Lord of Diemeringen, Anholt	Wild- and Rhinegraviate\n1623: Principality	Low Rhen, Upp Rhen	WF, PR	1739	Renamed from Salm-Hoogstraten
Salm-Tronecken	Wild- and Rhinegraviate	Upp Rhen		1607	Partitioned from Salm-Kyrburg\n1637: Annexed to Salm-Mörchingen
Salmannsweiler	Abbacy	Swab			1793: Council of Princes
Salzburg	c543: Bishopric\n798: Archbishopric\n1278: Prince-Archbishopric\n1803: Duchy of Salzburg\n1803: HRE Elector of Salzburg	Bav	EC	c543	1500: Bavarian Circle\n1793: Council of Princes\n1803: Secularized as a duchy for the former Grand Duke of Tuscany\n1805: To Austria
Sargans	HRE County			11th century?	1458–1798: Condominium of the Old Swiss Confederacy\n1798: Annexed to Helvetic Republic's canton of Linth\n1803: Joined canton of St. Gallen
Sarrebourg	Imperial City	Upp Rhen			1641: Annexed to France
Sassenburg					To Counts of Mark
Saussenberg	Landgraviate				
