"Kategori","1995","2004","2005","2006","2007"
"Best Movie","Pencet Sana Pencet Sini","Arisan","Janji Joni","Berbagi Suami","Nagabonar Jadi 2"
"Best Director","Arizal (Pencet Sana Pencet Sini)","Nia Dinata (Arisan)","Garin Nugroho (Rindu Kami Padamu)","Riri Riza (Gie)","John de Rantau (Denias, Senandung di Atas Awan)"
"Most Favourite Movie","Catatan Si Emon","Eiffel I'm in Love","Ungu Violet","Heart",""
"Most Favourite Actor","Onky Alexander (Catatan Tante Sonya)","Samuel Rizal (Eiffel I'm In Love)","Nicholas Saputra (Janji Joni)","Nicholas Saputra (Gie)","Tora Sudiro (Nagabonar Jadi 2)"
"Most Favorite Actress","Ayu Azhari (Catatan Tante Sonya)","Nirina Zubir(30 hari Mencari Cinta)","Dian Sastrowardoyo (Ungu Violet)","Titi Kamal (Mendadak Dangdut)","Dinna Olivia (Mengejar Mas-Mas)"
"Most Favourite Supporting Actor","Didi Petet (Catatan Si Emon)","Surya Saputra (Arisan)","Fauzi Baadila (Tentang Dia)","Tio Pakusadewo (Berbagi Suami)","Winky Wiryawan (Badai Pasti Berlalu)"
"Most Favourite Supporting Actress","Cornelia Agatha (Lupus)","Titi Kamal (Eiffel I'm In Love)","Mariana Renata (Janji Joni)","Ria Irawan (Berbagi Suami)","Wulan Guritno (Nagabonar Jadi 2)"
"Best Crying Scene","Nita Tilana (Surat Untuk Bidadari)","Winky Wiryawan (Mengejar Matahari)","Putri Mulia (Rindu Kami Padamu)","Sita Nursanti (Gie)",""
"Most Favourite Heart Melting Moment","Onky Alexander and Paramitha Rusady (Catatan Si Boy)","Vino Bastian and Maria Agnes (30 hari Mencari Cinta)","","Nirina Zubir and Irwansyah (Heart)",""
"Best Song in the Movie","Kisah Cinta Kita - James F.Sundah and Krisdayanti","Mengejar Matahari - Ari Lasso","Tentang Dia - Melly Goeslaw and Evan Sanders","My Heart - Irwansyah and Acha Septriasa","Pulang - Float[disambiguation needed]"
"Most Favourite Rising Star","Krisdayanti (Lupus V)","","Laudya Chintya Bella (Virgin)","Jonathan Mulia (Gie)","Albert Fakdawer (Denias, Senandung di Atas Awan)"
"Lifetime Achievement","Christine Hakim","","Benyamin Sueb","Warkop DKI","Deddy Mizwar"
"Best Scary Scene","Hantu Tinta","","","","Kuntilanak"
"Best Running Scene","","","","","Maaf, Saya Menghamili Istri Anda"
