Pos.	Div.	No.	Team	Drivers	Car	Laps	Qual.\nPos.
1	1	11	Perkins Engineering	Larry Perkins\n Tomas Mezera	Holden VL Commodore SS Group A SV	125	2
2	1	35	Peter Jackson Racing	Glenn Seton\n Colin Bond	Ford Sierra RS500	125	4
3	1	05	Mobil 1 Racing	Peter Brock\n Andrew Miedecke	Ford Sierra RS500	124	6
4	1	20	Benson & Hedges Racing	Gary Brabham\n David Brabham	Ford Sierra RS500	123	7
5	1	30	Peter Jackson Racing	George Fury\n Drew Price	Ford Sierra RS500	123	9
6	1	25	Benson & Hedges Racing	Tony Longhurst\n Alan Jones	Ford Sierra RS500	123	3
7	1	28	Playscape Racing	Kevin Waldock\n Andrew Bagnall	Ford Sierra RS500	123	12
8	1	33	Pro-Duct Motorsport	Bob Pearson\n Bruce Stewart	Holden VL Commodore SS Group A SV	122	16
9	1	4	Lansvale Racing Team	Steve Reed\n Trevor Ashby	Holden VL Commodore SS Group A SV	122	11
10	1	6	Mobil 1 Racing	Charlie O'Brien\n David Parsons	Ford Sierra RS500	121	10
11	1	12	Ray Lintott	Ray Lintott\n Terry Shiel	Ford Sierra RS500	121	13
12	1	26	Garry Rogers Motorsport	Garry Rogers\n Paul Fordham	Holden VL Commodore SS Group A SV	121	14
13	1	27	Terry Finnigan	Terry Finnigan\n Geoff Leeds	Holden VL Commodore SS Group A SV	120	15
14	1	42	Lusty Engineering	John Lusty\n Bernie Stack	Holden VL Commodore SS Group A SV	119	20
15	2	51	Phil Ward Racing	Phil Ward\n John Goss	Mercedes-Benz 190E 2.3-16	118	23
16	2	54	Bryce Racing	Brett Riley\n Craig Baird	BMW M3	117	26
17	1	2	Alf Grant	Alf Grant\n Tim Grant	Nissan Skyline HR31 GTS-R	117	24
18	1	45	Lester Smerdon	Lester Smerdon\n Graham Jonsson	Holden VL Commodore SS Group A SV	116	25
19	3	71	Toyota Dealer Team	John Faulkner\n John Smith\n Neal Bates	Toyota Corolla FX-GT	115	28
20	2	53	Brian Bolwell Racing	Brian Bolwell\n Mike Twigden	BMW 323i	111	29
21	3	78	Phoenix Motorsport	Geoff Full\n David Ratcliff	Toyota Sprinter	111	30
22	1	32	Hersonne Engineering	Laurie Donaher\n Marc Ducquet	Holden VL Commodore SS Group A	109	34
23	3	76	Peter Verheyen	Peter Verheyen\n John Vernon	Toyota Sprinter	109	36
24	3	72	David Sala	David Sala\n Richard Vorst	Toyota Corolla	106	32
DNF	1	17	Shell Ultra Hi Racing	Dick Johnson\n John Bowe	Ford Sierra RS500	123	5
DNF	2	52	M3 Motorsport	Peter Doulman\n John Cotter	BMW M3	109	22
DNF	3	75	Bob Holden Motors	Dennis Rogers\n Garry Jones	Toyota Corolla	75	31
DNF	1	21	Bob Forbes Motorsport	Mark Gibbs\n Rohan Onslow	Holden VL Commodore SS Group A SV	64	8
DNF	1	19	Caltex CXT Racing	Ken Mathews\n John Mathews	Ford Sierra RS500	64	27
DNF	1	22	Lusty Engineering	Graham Lusty\n Ken Lusty	Holden VL Commodore SS Group A SV	52	21
DNF	1	1	Nissan Motorsport Australia	Jim Richards\n Mark Skaife	Nissan Skyline R32 GT-R	51	1
DNF	1	29	Wayne Park	Wayne Park\n John English	Holden VL Commodore SS Group A SV	49	19
DNF	3	74	Bob Holden Motors	Phil Alexander\n Keith McCulloch	Toyota Corolla	44	33
DNF	1	46	Garry Willmington Performance	Garry Willmington\n John Bourke	Toyota Supra Turbo	24	18
DNF	1	23	Chris Lambden	Chris Lambden\n Des Wall	Nissan Skyline HR31 GTS-R	18	17
DNF	3	73	Bob Holden Motors	Bob Holden\n Mike Conway	Toyota Sprinter	8	35
