"Year","Venue","Winners","Runner-up","3rd place"
"2005","Pardubice","Poland (41 pts)","Sweden (35 pts)","Denmark (24 pts)"
"2006","Rybnik","Poland (41 pts)","Sweden (27 pts)","Denmark (26 pts)"
"2007","Abensberg","Poland (40 pts)","Great Britain (36 pts)","Czech Republic (30 pts)"
"2008","Holsted","Poland (40 pts)","Denmark (39 pts)","Sweden (38 pts)"
"2009","Gorzów Wlkp.","Poland (57 pts)","Denmark (45 pts)","Sweden (32 pts)"
"2010","Rye House","Denmark (51 pts)","Sweden (37 pts)","Poland (35 pts)"
"2011","Balakovo","Russia (61 pts)","Denmark (31 pts)","Ukraine (29+3 pts)"
"2012","Gniezno","Poland (61 pts)","Australia (44 pts)","Sweden (26 pts)"
"Year","Venue","Winners","Runner-up","3rd place"
