"#","Title","Songwriters","Producer(s)","Performer (s)"
"1","\"Creative Control\"","O. Credle, L. Baskerville, T. Jamerson","Organized Konfusion","O.C."
"2","\"Word...Life\"","O. Credle, A. Best","Buckwild","O.C."
"3","\"O-Zone\"","O. Credle, A. Best","Buckwild","O.C."
"4","\"Born 2 Live\"","O. Credle, A. Best","Buckwild","O.C."
"5","\"Time's Up\"","O. Credle, A. Best","Buckwild","O.C."
"6","\"Point O' Viewz\"","O. Credle, D. Vanderpool, A. Best","Buckwild, Prestige","O.C."
"7","\"Constables\"","O. Credle, L. Baskerville, T. Jamerson","Organized Konfusion","O.C."
"8","\"Ga Head\"","O. Credle, R. Hall","Lord Finesse","O.C."
"9","\"No Main Topic\"","O. Credle, G. Scott","DJ Ogee/O.Gee","O.C., Prince Po"
"10","\"Let It Slide\"","O. Credle, A. Best","Buckwild","O.C., Pharoahe Monch"
"11","\"Ma Dukes\"","O. Credle, A. Best","Buckwild","O.C."
"12","\"Story\"","O. Credle, G. Scott","DJ Ogee/O.Gee","O.C."
"13","\"Outtro (Sabotage)\"","O. Credle, A. Best","Buckwild","O.C."
"14","\"Born 2 Live (Remix)\"","O. Credle, A. Best","Organized Konfusion","O.C."
