"Year","Goalkeeper","Defenders","Midfielders","Forwards"
"1983","Jamie Swanner, Clemson","Mike Jeffries, Duke
David Masur, Rutgers
Simon Spelling, Akron
Cheche Vidal, Boston","Michael Brady, American
Aidan McClusky, Farleigh-Dickinson
Neil Ridgway, BGSU","Steve McLean, Philadelphia Textile
Roy Wegerle, South Florida
Tom Kain, Duke"
"1984","Jeff Duback, Yale","Albert Adabe, Eastern Illinois
Adubarie Otorubio, Clemson
Shaun Pendleton, Akron","Tony Bono, Drexel
Dale Ervine, UCLA
Aidan McCluskey, Farleigh-Dickinson","John Gaffney, Virginia
Tom Kain, Duke
Michael King, Farleigh-Dickinson
Sam Okpodu, NC State"
"1985","Tim Borer, Old Dominion","Paul Caligiuri, UCLA
Shaun Pendleton, Akron
Michael Reynolds, George Mason","John Kerr Jr., Duke
Mark Mettrick, Hartwick
Bruce Murray, Clemson","Michael Brady, American
Eric Eichmann, Clemson
Tom Kain, Duke
Sam Sumo, George Mason"
"1986","Jeff Duback, Yale","Paul Caligiuri, UCLA
Benjamin Okaroh, Boston
Steve Trittschuh, SIUE","Mark Francis, SMU
Gary Furlong, Maryland
John Harkes, Virginia","John Catliff, Harvard
Guy Furfaro, Philadelphia
George Gelnovatch, Virginia
John Kerr Jr., Duke"
"1987","Bob Willen, Virginia","Seamus Purcell, Providence
Paul Rutenis, Clemson
David Smyth, UNC","John Harkes, Virginia
Mark Mettrick, Hartwick
Tab Ramos, NC State","Doug Allison, South Carolina
Bruce Murray, Clemson
Ken Snow, Indiana
Peter Vermes, Rutgers"
"1988","Tony Meola, Virginia","Jeff Agoos, Virginia
Marcelo Balboa, San Diego State
Kevin Grimes, SMU","Henry Gutierrez, NC State
Pat O'Kelly, Seton Hall
Mark Santel, St. Louis University","Scott Benedetti, Portland
Brian Benedict, Duke
Ken Snow, Indiana
Joey Valenti, Duke"
"1989","Tony Meola, Virginia","Kevin Grimes, SMU
Cam Rast, Santa Clara
Kevin Wylie, Vermont","David Banks, Philadelphia
Tim Martin, Fresno State
Pat O'Kelly, Seton Hall","Clark Brisson, South Carolina
Peter Isaacs, Howard
Robert Paterson, Evansville
Ken Snow, Indiana"
"1990","Kasey Keller, Portland","Jeff Agoos, Virginia
Scott Cannon, Evansville
Tom Loeber, South Carolina","Dario Brose, NC State
Chad Deering, Indiana
Mark Santel, St. Louis University","Steve Rammel, Rutgers
Ken Snow, Indiana
Billy Thompson, UCLA
David Weir, Evansville"
"1991","Brad Friedel, UCLA","Alexi Lalas, Rutgers
Mike Lapper, UCLA
Cam Rast, Santa Clara","Peter DiMaggio, Columbia
Graham Merryweather, Evansville
Claudio Reyna, Virginia","Gerell Elliott, Fresno State
Henry Gutierrez, NC State
Manny Lagos, Milwaukee
Dante Washington, Radford"
"1992","Brad Friedel, UCLA","Joe Addo, George Mason
Scott Schweitzer, NC State
Hector Zamora, Seton Hall","Joe-Max Moore, UCLA
Claudio Reyna, Virginia
Joey Thieman, Princeton","Ben Crawley, Virginia
Robert Martella, Bowling Green
Alan Prampin, SMU
Robert Ukrop, Davidson"
