Year	Competition	Venue	Position	Notes
1999	World Youth Championships	Bydgoszcz, Poland	13th (q)	4.60 m
2001	European Junior Championships	Grosseto, Italy	7th	5.15 m
2002	World Junior Championships	Kingston, Jamaica	8th	5.30 m
2003	European U23 Championships	Bydgoszcz, Poland	13th (q)	5.20 m
2005	European U23 Championships	Erfurt, Germany	7th	5.50 m
2005	Universiade	Izmir, Turkey	5th	5.50 m
2006	World Indoor Championships	Moscow, Russia	10th (q)	5.65 m
2006	European Championships	Gothenburg, Sweden	5th	5.65 m
2007	European Indoor Championships	Birmingham, United Kingdom	16th (q)	5.40 m
2008	Olympic Games	Beijing, China	11th	5.45 m
2010	European Championships	Barcelona, Spain	3rd	5.75 m
2012	European Championships	Helsinki, Finland	–	NM
