| Period    | Live births per year | Deaths per year | Natural change per year | CBR* | CDR* | NC*  | TFR* | IMR* |
| 1950-1955 | 139 000              | 66 000          | 74 000                  | 52.6 | 24.8 | 27.8 | 6.86 | 174  |
| 1955-1960 | 164 000              | 76 000          | 88 000                  | 53.8 | 24.9 | 29.0 | 6.96 | 171  |
| 1960-1965 | 195 000              | 89 000          | 105 000                 | 55.5 | 25.5 | 30.1 | 7.13 | 167  |
| 1965-1970 | 229 000              | 105 000         | 124 000                 | 56.2 | 25.8 | 30.4 | 7.32 | 164  |
| 1970-1975 | 263 000              | 121 000         | 142 000                 | 55.8 | 25.6 | 30.2 | 7.52 | 162  |
| 1975-1980 | 301 000              | 138 000         | 164 000                 | 55.1 | 25.1 | 29.9 | 7.63 | 161  |
| 1980-1985 | 350 000              | 157 000         | 193 000                 | 55.4 | 24.8 | 30.6 | 7.76 | 159  |
| 1985-1990 | 406 000              | 179 000         | 227 000                 | 55.9 | 24.6 | 31.3 | 7.81 | 155  |
| 1990-1995 | 471 000              | 192 000         | 279 000                 | 55.5 | 22.7 | 32.8 | 7.78 | 146  |
| 1995-2000 | 538 000              | 194 000         | 344 000                 | 53.5 | 19.3 | 34.2 | 7.60 | 131  |
| 2000-2005 | 614 000              | 194 000         | 420 000                 | 51.3 | 16.2 | 35.1 | 7.40 | 113  |
| 2005-2010 | 705 000              | 196 000         | 509 000                 | 49.5 | 13.8 | 35.7 | 7.19 | 96   |
