"Week","Date","Opponent","Result","Attendance"
"1","September 8, 2002","St. Louis Rams","W 23–16","75,710"
"2","September 15, 2002","at San Francisco 49ers","W 24–14","67,685"
"3","September 22, 2002","Buffalo Bills","W 28–23","75,359"
"4","September 30, 2002","at Baltimore Ravens","L 34–23","69,538"
"5","October 6, 2002","San Diego Chargers","W 26–9","75,065"
"6","October 13, 2002","Miami Dolphins","L 24–22","75,941"
"7","October 20, 2002","at Kansas City Chiefs","W 37–34","78,446"
"8","October 27, 2002","at New England Patriots","W 24–16","68,436"
"9","Bye","Bye","Bye","Bye"
"10","November 11, 2002","Oakland Raiders","L 34–10","76,643"
"11","November 17, 2002","at Seattle Seahawks","W 31–9","65,495"
"12","November 24, 2002","Indianapolis Colts","L 23–20","75,075"
"13","December 1, 2002","at San Diego Chargers","L 30–27","66,357"
"14","December 8, 2002","at New York Jets","L 19–13","78,521"
"15","December 15, 2002","Kansas City Chiefs","W 31–24","75,947"
"16","December 22, 2002","at Oakland Raiders","L 28–16","62,592"
"17","December 29, 2002","Arizona Cardinals","W 37–7","75,164"
