	Ship	Shipyard	Laid down	Launched	Completed	Fate
白露	Shiratsuyu	Sasebo Naval Arsenal	14 November 1933	5 April 1935	20 August 1936	Collision 15 June 1944
時雨	Shigure	Uraga Dock Company	9 December 1933	18 May 1935	7 September 1936	Sunk in action 24 January 1945
村雨	Murasame	Fujinagata Shipyards	1 February 1934	20 June 1935	7 January 1937	Sunk in action, 6 March 1943
夕立	Yudachi	Sasebo Naval Arsenal	16 October 1934	21 June 1936	7 January 1937	Sunk in action 13 November 1942
五月雨	Samidare	Uraga Dock Company	19 December 1934	6 July 1935	29 January 1937	Sunk in action 26 August 1944
春雨	Harusame	Uraga Dock Company	3 February 1935	21 September 1935	26 August 1937	Sunk in action 8 June 1944
山風	Yamakaze	Uraga Dock Company	25 May 1935	21 February 1936	30 June 1937	Sunk in action 23 June 1942
江風	Kawakaze	Fujinagata Shipyards	25 April 1935	1 November 1936	30 April 1937	Sunk in action 6 August 1943
海風	Umikaze	Maizuru Naval Arsenal	4 May 1935	27 November 1936	31 May 1937	Sunk in action 1 February 1944
涼風	Suzukaze	Uraga Dock Company	9 July 1935	11 March 1937	31 August 1937	Sunk in action 25 January 1944
