"Medal","Name","Sport","Event","Date"
"Gold","Brahim Asloum","Boxing","Light Flyweight","September 30"
"Gold","Tony Estanguet","Canoeing","Men's slalom C-1","September 18"
"Gold","Florian Rousseau","Cycling","Men's Keirin","September 21"
"Gold","Florian Rousseau, Laurent Gané, Arnaud Tournant","Cycling","Men's team sprint","September 17"
"Gold","Félicia Ballanger","Cycling","Women's track time trial","September 16"
"Gold","Félicia Ballanger","Cycling","Women's sprint","September 17"
"Gold","Miguel Martinez","Cycling","Men's cross-country","September 24"
"Gold","Jean-Noël Ferrari, Brice Guyart,
Patrice Lhotellier, Lionel Plumenail","Fencing","Men's team foil","September 22"
"Gold","David Douillet","Judo","Men's +100 kg","September 22"
"Gold","Séverine Vandenhende","Judo","Women's 63 kg","September 18"
"Gold","Franck Dumoulin","Shooting","Men's 10 m air pistol","September 16"
"Gold","Michel Andrieux, Jean-Christophe Rolland","Rowing","Men's coxless pair","September 23"
"Gold","Jean-Christophe Bette, Xavier Dorfman,
Yves Hocdé, Laurent Porchier","Rowing","Men's coxless four","September 24"
"Silver","France national basketball team


Jim Bilba
 
Crawford Palmer




Yann Bonato
 
Antoine Rigaudeau




Makan Dioumassi
 
Stéphane Risacher




Laurent Foirest
 
Laurent Sciarra




Thierry Gadou
 
Moustapha Sonko




Cyril Julian
 
Frédéric Weis","Basketball","Men's competition","October 1"
"Silver","Brigitte Guibal","Canoeing","Women's slalom K-1","September 18"
"Silver","Florian Rousseau","Cycling","Men's sprint","September 20"
"Silver","Marion Clignet","Cycling","Women's individual pursuit","September 18"
"Silver","Hugues Obry","Fencing","Men's épée","September 16"
"Silver","Jean-François Di Martino, Hugues Obry, Éric Srecki","Fencing","Men's team épée","September 18"
"Silver","Mathieu Gourdain","Fencing","Men's sabre","September 21"
"Silver","Mathieu Gourdain, Julien Pillet,
Cédric Séguin, Damien Touya","Fencing","Men's team sabre","September 24"
"Silver","Éric Poujade","Gymnastics","Men's pommel horse","September 24"
"Silver","Benjamin Varonian","Gymnastics","Men's horizontal bar","September 25"
"Silver","Larbi Benboudaoud","Judo","Men's 66 kg","September 16"
"Silver","Céline Lebrun","Judo","Women's 78 kg","September 21"
"Silver","Delphine Racinet","Shooting","Women's trap","September 18"
"Silver","Roxana Maracineanu","Swimming","Women's 200 m backstroke","September 22"
"Bronze","Jérôme Thomas","Boxing","Flyweight","October 1"
"Bronze","Anne-Lise Bardet","Canoeing","Women's slalom K-1","September 18"
"Bronze","Jeannie Longo","Cycling","Women's road time trial","September 30"
"Bronze","Laura Flessel-Colovic","Fencing","Women's épée","September 17"
"Bronze","Frédéric Demontfaucon","Judo","Men's 90 kg","September 20"
"Bronze","Stéphane Traineau","Judo","Men's 100 kg","September 21"
"Bronze","Thibaud Chapelle, Pascal Touron","Rowing","Men's lightweight double sculls","September 24"
"Bronze","Virginie Dedieu, Myriam Lignot","Synchronized swimming","Women's duet","September 26"
"Bronze","Patrick Chila, Jean-Philippe Gatien","Table tennis","Men's doubles","September 23"
"Bronze","Arnaud Di Pasquale","Tennis","Men's singles","September 28"
"Bronze","Pascal Gentil","Taekwondo","Men's +80 kg","September 30"
