"Draw","Country","Language","Artist","Song","English translation","Place","Points"
"01","Spain","Spanish","Serafín Zubiri","\"Todo esto es la música\"","All this is music","14","37"
"02","Belgium","French","Morgane","\"Nous, on veut des violons\"","We want violins","20","11"
"03","Israel","Hebrew","Dafna Dekel","\"Ze Rak Sport\" (זה רק ספורט)","It's just sport","6","85"
"04","Turkey","Turkish","Aylin Vatankoş","\"Yaz Bitti\"","Summer is over","19","17"
"05","Greece","Greek","Cleopatra","\"Olou Tou Kosmou I Elpida\"
(Όλου του κόσμου η Ελπίδα)","The whole world's hope","5","94"
"06","France","French, Antillean Creole","Kali","\"Monté la riviè\"","Go up the river","8","73"
"07","Sweden","Swedish","Christer Björkman","\"I morgon är en annan dag\"","Tomorrow is another day","22","9"
"08","Portugal","Portuguese","Dina","\"Amor d'água fresca\"","Fresh water love","17","26"
"09","Cyprus","Greek","Evridiki","\"Teriazoume\" (Ταιριάζουμε)","We hit it off","11","57"
"10","Malta","English","Mary Spiteri","\"Little Child\"","–","3","123"
"11","Iceland","Icelandic","Heart 2 Heart","\"Nei eða já\"","No or yes?","7","80"
"12","Finland","Finnish","Pave Maijanen","\"Yamma, yamma\"","–","23","4"
"13","Switzerland","French","Daisy Auvray","\"Mister Music Man\"","–","15","32"
"14","Luxembourg","Luxembourgish","Marion Welter & Kontinent","\"Sou fräi\"","So free","21","10"
"15","Austria","German","Tony Wegas","\"Zusammen geh'n\"","Go together","10","63"
"16","United Kingdom","English","Michael Ball","\"One Step Out of Time\"","–","2","139"
"17","Ireland","English","Linda Martin","\"Why Me?\"","–","1","155"
"18","Denmark","Danish","Kenny Lübcke & Lotte Nilsson","\"Alt det som ingen ser\"","All the things that nobody sees","12","47"
"19","Italy","Italian","Mia Martini","\"Rapsodia\"","Rhapsody","4","111"
"20","FR Yugoslavia","Serbian","Extra Nena","\"Ljubim te pesmama\"
(Љубим те песмама)","I'm kissing you with songs","13","44"
"21","Norway","Norwegian","Merethe Trøan","\"Visjoner\"","Visions","18","23"
"22","Germany","German","Wind","\"Träume sind für alle da\"","Dreams are there for everyone","16","27"
"23","Netherlands","Dutch","Humphrey Campbell","\"Wijs me de weg\"","Show me the way","9","67"
