Season	Pitcher	Decision	Final\nscore	Opponent	Location
1962	Bobby Shantz	W	11–2	Chicago Cubs	Colt Stadium
1963	Turk Farrell	L	2–9	San Francisco Giants	Colt Stadium
1964	Ken Johnson	W	6–3	Cincinnati Reds	Crosley Field
1965	Bob Bruce	L	0–2	Philadelphia Phillies	Astrodome
1966	Robin Roberts	L	2–3	Los Angeles Dodgers	Dodger Stadium
1967	Mike Cuellar	W	6–1	Atlanta Braves	Astrodome
1968	Larry Dierker	W	5–4	Pittsburgh Pirates	Astrodome
1969	Don Wilson	L	1–2	San Diego Padres	San Diego Stadium
1970	Larry Dierker (2)	W	8–5	San Francisco Giants	Candlestick Park
1971	Larry Dierker (3)	W	5–2	Los Angeles Dodgers	Astrodome
1972	Don Wilson (2)	L	0–5	San Francisco Giants	Astrodome
1973	Dave Roberts	ND (W)	2–1	Atlanta Braves	Atlanta-Fulton County Stadium
1974	Dave Roberts (2)	L	1–5	San Francisco Giants	Candlestick Park
1975	Larry Dierker (4)	W	6–2	Atlanta Braves	Astrodome
1976	J.R. Richard	L	5–11	Cincinnati Reds	Riverfront Stadium
1977	J.R. Richard (2)	ND (W)	3–2	Atlanta Braves	Astrodome
1978	J.R. Richard (3)	L	9–11	Cincinnati Reds	Riverfront Stadium
1979	J.R. Richard (4)	W	2–1	Atlanta Braves	Astrodome
1980*	J.R. Richard (5)	W	3–2	Los Angeles Dodgers	Astrodome
1981*	Joe Niekro	L	0–2	Los Angeles Dodgers	Dodger Stadium
1982	Nolan Ryan	L	3–14	St. Louis Cardinals	Astrodome
1983	Joe Niekro (2)	ND (L)	7–16	Los Angeles Dodgers	Astrodome
1984	Joe Niekro (3)	L	2–4	Montreal Expos	Astrodome
1985	Nolan Ryan (2)	W	2–1	Los Angeles Dodgers	Astrodome
1986*	Nolan Ryan (3)	L	3–8	San Francisco Giants	Astrodome
1987	Mike Scott	W	4–3	Los Angeles Dodgers	Astrodome
1988	Mike Scott (2)	W	6–3	San Diego Padres	Astrodome
1989	Mike Scott (3)	W	10–3	Atlanta Braves	Astrodome
1990	Mike Scott (4)	ND (L)	4–8	Cincinnati Reds	Astrodome
1991	Mike Scott (5)	L	2–6	Cincinnati Reds	Riverfront Stadium
1992	Pete Harnisch	L	0–2	Atlanta Braves	Astrodome
1993	Doug Drabek	L	1–3	Philadelphia Phillies	Astrodome
1994	Pete Harnisch (2)	ND (W)	6–5	Montreal Expos	Astrodome
1995	Doug Drabek (2)	W	10–2	San Diego Padres	Jack Murphy Stadium
1996	Shane Reynolds	L	3–4	Los Angeles Dodgers	Astrodome
1997*	Shane Reynolds (2)	W	2–1	Atlanta Braves	Astrodome
1998*	Shane Reynolds (3)	ND (L)	4–9	San Francisco Giants	Astrodome
1999*	Shane Reynolds (4)	W	4–2	Chicago Cubs	Astrodome
2000	Shane Reynolds (5)	W	5–2	Pittsburgh Pirates	Three Rivers Stadium
2001*	Scott Elarton	W	11–3	Milwaukee Brewers	Enron Field
2002	Wade Miller	L	3–9	Milwaukee Brewers	Astros Field
2003	Roy Oswalt	W	10–4	Colorado Rockies	Minute Maid Park
2004*	Roy Oswalt (2)	ND (L)	4–5	San Francisco Giants	Minute Maid Park
2005**	Roy Oswalt (3)	L	3–7	St. Louis Cardinals	Minute Maid Park
2006	Roy Oswalt (4)	W	1–0	Florida Marlins	Minute Maid Park
2007	Roy Oswalt (5)	ND (L)	2–4	Pittsburgh Pirates	Minute Maid Park
2008	Roy Oswalt (6)	L	0–4	San Diego Padres	Petco Park
2009	Roy Oswalt (7)	L	2–4	Chicago Cubs	Minute Maid Park
2010	Roy Oswalt (8)	L	2–5	San Francisco Giants	Minute Maid Park
2011	Brett Myers	ND (L)	4–5	Philadelphia Phillies	Citizens Bank Park
2012	Wandy Rodriguez	ND (L)	4–5	Colorado Rockies	Minute Maid Park
2013	Bud Norris	W	8–2	Texas Rangers	Minute Maid Park
