| No. | Dub No. | English dubbed title / English subbed title Original Japanese title                                                                                            | Original air date  | English air date   |
| 1   | 1       | "A Moon Star Is Born" / "Crybaby Usagi's Magnificent Transformation" "Nakimushi Usagi no karei naru henshin" (泣き虫うさぎの華麗なる変身)                                   | March 7, 1992      | September 11, 1995 |
| 2   | --      | "Punish Them! The House of Fortune is the Monster Mansion" "Oshioki yo! Uranai house wa yōma no yakata" (おしおきよ!占いハウスは妖魔の館)                                     | March 14, 1992     | N/A                |
| 3   | 2       | "Talk Radio" / "Mysterious Sleeping Illness, Protect the Girls' Hearts in Love" "Nazo no nemuribyō, mamore otome no koisuru kokoro" (謎のねむり病, 守れ乙女の恋する心)        | March 21, 1992     | September 12, 1995 |
| 4   | 3       | "Slim City" / "Usagi Will Teach You How to Lose Weight!" "Usagi ga oshiemasu! Surimu ni naruhō" (うさぎが教えます!スリムになる法)                                             | March 28, 1992     | September 13, 1995 |
| 5   | --      | "A Monster's Scent! Chanela Steals Love" "Yōma no kaori! Shanēra wa ai wo nusume" (妖魔の香り!シャネラーは愛を盗む)                                                           | April 11, 1992     | N/A                |
| 6   | --      | "Protect the Melody of Love! Usagi is a Cupid" "Mamore koi no merodi! Usagi wa Kyūpiddo" (守れ恋の曲!うさぎはキューピッド)                                                    | April 18, 1992     | N/A                |
| 7   | 4       | "So You Want to Be a Superstar" / "Usagi Learns a Lesson! The Road to Stardom is Tough" "Usagi hansei! Sutā no michi wa kibishii" (うさぎ反省!スターの道はきびしい)           | April 25, 1992     | September 14, 1995 |
| 8   | 5       | "Computer School Blues" / "Is the Genius Girl a Monster? Brainwashing School of Terror" "Tensai shōjo wa yōma na no? Kyōfu no sennōjuku" (天才少女は妖魔なの?恐怖の洗脳塾)    | May 2, 1992        | September 15, 1995 |
| 9   | 6       | "Time Bomb" / "Usagi's Misfortune! Watch Out for the Rushing Clocks" "Usagi no sainan! Awate tokei ni goyōjin" (うさぎの災難!あわて時計にご用心)                              | May 9, 1992        | September 18, 1995 |
| 10  | 7       | "An Uncharmed Life" / "Cursed Buses! Fire Warrior Mars Appears" "Norowareta basu! Honō no senshi Māzu tōjō" (呪われたバス!炎の戦士マーズ登場)                                 | May 16, 1992       | September 19, 1995 |
| 11  | 8       | "Nightmare in Dreamland" / "Usagi vs. Rei? A Nightmare in Dreamland" "Usagi to Rei taiketsu? Yume rando no akumu" (うさぎとレイ対決?夢ランドの悪夢)                           | May 23, 1992       | September 20, 1995 |
