Team	Winners	Runners-Up	Years Won	Years Lost
Bayern Munich	5	4	1982, 1987, 1990, 2010, 2012	1989, 1994, 2008, 2013
Borussia Dortmund	5	2	1989, 1995, 1996, 2008, 2013	2011, 2012
Werder Bremen	4	1	1988, 1993, 1994, 2009	1991
Kaiserslautern	1	2	1991	1990, 1996
Schalke 04	1	2	2011	1940, 2010
Borussia Mönchengladbach	1	1	1977	1995
Stuttgart	1	0	1992	–
Dresdner SC	1	0	1940	–
Hamburg	0	3	–	1977, 1982, 1987
Eintracht Frankfurt	0	1	–	1988
Hannover 96	0	1	–	1992
Bayer Leverkusen	0	1	–	1993
Wolfsburg	0	1	–	2009
