Country	Total GDP (nominal)\n(billion US$)	GDP per capita\n(US$, PPP)	GDP Growth,\n2007-2011\n(in %)	HDI
Algeria	188.7	8,715	2.7	0.733
Angola	101.0	5,930	9.1	0.446
Benin	7.3	1,628	3.9	0.437
Botswana	17.6	14,753	3.0	0.654
Burkina Faso	10.2	1,310	4.9	0.370
Burundi	2.3	608	4.3	0.413
Cameroon	25.5	2,383	3.1	0.532
Cape Verde	1.9	4,123	5.8	0.736
Central African Republic	2.2	816	2.8	0.384
Chad	9.5	1,531	2.9	0.388
Comoros	0.6	1,117	1.5	0.561
Democratic Republic of the Congo	15.6	375	5.9	0.411
Congo	14.7	4,429	4.9	0.548
Ivory Coast	24.1	1,803	1.1	0.432
Djibouti	1.0 (2009)	2,290 (2009)	5.3	0.516
Egypt	229.5	6,324	5.2	0.708
Equatorial Guinea	19.8	36,515	8.8	0.642
Eritrea	2.6	589	1.3	0.483
Ethiopia	31.7	1,116	9.7	0.406
Gabon	17.1	15,960	3.6	0.677
Gambia	1.1	2,135	6.0	0.502
Ghana	39.2	1,884	8.3	0.553
Guinea	5.1	1,128	2.4	0.456
Guinea-Bissau	1.0	1,251	3.6	0.374
Kenya	33.6	1,718	4.2	0.521
Lesotho	2.4	1,715	4.9	0.549
Liberia	1.2	577	11.6	(N/A)
Libya	62.4 (2009)	16,855 (2009)	4.0	0.769
Madagascar	9.9	972	2.3	0.533
Malawi	5.7	918	6.8	0.437
Mali	10.6	1,099	4.5	0.380
Mauritania	4.1	2,571	2.8	0.550
Mauritius	11.3	14,523	4.5	0.804
Morocco	100.2	4,986	4.3	0.646
Mozambique	12.8	982	6.9	0.384
Namibia	12.3	6,826	3.7	0.650
Niger	6.0	732	4.3	0.374
Nigeria	235.9	2,532	6.8	0.670
Réunion (France)	15.98	8,233 (nominal)		0.850 (2003)
Rwanda	6.4	1,251	7.3	0.452
São Tomé and Príncipe	0.2	2,058	5.7	0.654
Senegal	14.3	1,981	3.5	0.499
Seychelles	1.0	26,420	4.2	0.843
Sierra Leone	2.2	877	5.2	0.336
Somalia	(N/A)	(N/A)	(N/A)	(N/A)
South Africa	408.2	11,035	2.7	0.674
South Sudan				
Sudan	55.1	2,141	4.1	0.526
Swaziland	4.0	6,099	2.1	0.547
Tanzania	23.7	1,521	6.8	0.467
Togo	3.6	1,042	3.1	0.512
Tunisia	45.9	9,415	3.0	0.766
Uganda	16.8	1,354	7.4	0.505
Zambia	19.2	1,623	6.4	0.434
Zimbabwe	9.9	(N/A)	0.6	0.513
